timezero,unit,target,value
2022-10-03,PA,1 wk ahead inc flu hosp,59
2022-10-03,FL,1 wk ahead inc flu hosp,110
2022-10-10,PA,1 wk ahead inc flu hosp,76
2022-10-10,FL,1 wk ahead inc flu hosp,105
2022-10-17,PA,1 wk ahead inc flu hosp,97
2022-10-17,FL,1 wk ahead inc flu hosp,125
2022-10-24,PA,1 wk ahead inc flu hosp,179
2022-10-24,FL,1 wk ahead inc flu hosp,260
2022-10-31,PA,1 wk ahead inc flu hosp,238
2022-10-31,FL,1 wk ahead inc flu hosp,304
2022-11-07,PA,1 wk ahead inc flu hosp,366
2022-11-07,FL,1 wk ahead inc flu hosp,487
2022-11-14,PA,1 wk ahead inc flu hosp,438
2022-11-14,FL,1 wk ahead inc flu hosp,504
2022-11-21,PA,1 wk ahead inc flu hosp,825
2022-11-21,FL,1 wk ahead inc flu hosp,803
2022-11-28,PA,1 wk ahead inc flu hosp,1330
2022-11-28,FL,1 wk ahead inc flu hosp,896
2022-12-05,PA,1 wk ahead inc flu hosp,1180
2022-12-05,FL,1 wk ahead inc flu hosp,789
2022-12-12,PA,1 wk ahead inc flu hosp,1042
2022-12-12,FL,1 wk ahead inc flu hosp,890
2022-12-19,PA,1 wk ahead inc flu hosp,1038
2022-12-19,FL,1 wk ahead inc flu hosp,982
2022-12-26,PA,1 wk ahead inc flu hosp,1056
2022-12-26,FL,1 wk ahead inc flu hosp,1297
2023-01-02,PA,1 wk ahead inc flu hosp,775
2023-01-02,FL,1 wk ahead inc flu hosp,1213
2023-01-09,PA,1 wk ahead inc flu hosp,426
2023-01-09,FL,1 wk ahead inc flu hosp,714
2023-01-16,PA,1 wk ahead inc flu hosp,286
2023-01-16,FL,1 wk ahead inc flu hosp,577
2023-01-23,PA,1 wk ahead inc flu hosp,222
2023-01-23,FL,1 wk ahead inc flu hosp,410
2023-01-30,PA,1 wk ahead inc flu hosp,182
2023-01-30,FL,1 wk ahead inc flu hosp,343
2023-02-06,PA,1 wk ahead inc flu hosp,181
2023-02-06,FL,1 wk ahead inc flu hosp,300
2023-02-13,PA,1 wk ahead inc flu hosp,194
2023-02-13,FL,1 wk ahead inc flu hosp,226
2023-02-20,PA,1 wk ahead inc flu hosp,167
2023-02-20,FL,1 wk ahead inc flu hosp,202
2023-02-27,PA,1 wk ahead inc flu hosp,158
2023-02-27,FL,1 wk ahead inc flu hosp,184
2023-03-06,PA,1 wk ahead inc flu hosp,176
2023-03-06,FL,1 wk ahead inc flu hosp,188
2023-03-13,PA,1 wk ahead inc flu hosp,169
2023-03-13,FL,1 wk ahead inc flu hosp,201
2023-03-20,PA,1 wk ahead inc flu hosp,97
2023-03-20,FL,1 wk ahead inc flu hosp,162
2023-03-27,PA,1 wk ahead inc flu hosp,92
2023-03-27,FL,1 wk ahead inc flu hosp,161
2023-04-03,PA,1 wk ahead inc flu hosp,65
2023-04-03,FL,1 wk ahead inc flu hosp,180
2023-04-10,PA,1 wk ahead inc flu hosp,73
2023-04-10,FL,1 wk ahead inc flu hosp,135
2023-04-17,PA,1 wk ahead inc flu hosp,77
2023-04-17,FL,1 wk ahead inc flu hosp,140
2023-04-24,PA,1 wk ahead inc flu hosp,84
2023-04-24,FL,1 wk ahead inc flu hosp,134
