timezero,unit,target,value
2023-10-07,FL,1 wk inc flu hosp,215
2023-10-07,PA,1 wk inc flu hosp,42
2023-10-14,FL,1 wk inc flu hosp,292
2023-10-14,PA,1 wk inc flu hosp,43
2023-10-21,FL,1 wk inc flu hosp,313
2023-10-21,PA,1 wk inc flu hosp,50
2023-10-28,FL,1 wk inc flu hosp,444
2023-10-28,FL,1 wk inc flu hosp,443
2023-10-28,PA,1 wk inc flu hosp,39
2023-11-04,FL,1 wk inc flu hosp,462
2023-11-04,PA,1 wk inc flu hosp,82
2023-11-11,FL,1 wk inc flu hosp,652
2023-11-11,PA,1 wk inc flu hosp,89
2023-11-18,FL,1 wk inc flu hosp,701
2023-11-18,PA,1 wk inc flu hosp,125
2023-11-25,FL,1 wk inc flu hosp,748
2023-11-25,PA,1 wk inc flu hosp,217
2023-12-02,FL,1 wk inc flu hosp,763
2023-12-02,PA,1 wk inc flu hosp,284
2023-12-09,FL,1 wk inc flu hosp,844
2023-12-09,PA,1 wk inc flu hosp,395
