timezero,unit,target,value
2022-10-03,AL,1 wk ahead inc flu hosp,41
2022-10-03,GA,1 wk ahead inc flu hosp,87
2022-10-03,MS,1 wk ahead inc flu hosp,58
2022-10-03,SC,1 wk ahead inc flu hosp,38
2022-10-10,AL,1 wk ahead inc flu hosp,86
2022-10-10,GA,1 wk ahead inc flu hosp,113
2022-10-10,MS,1 wk ahead inc flu hosp,70
2022-10-10,SC,1 wk ahead inc flu hosp,37
2022-10-17,AL,1 wk ahead inc flu hosp,141
2022-10-17,GA,1 wk ahead inc flu hosp,119
2022-10-17,MS,1 wk ahead inc flu hosp,90
2022-10-17,SC,1 wk ahead inc flu hosp,88
2022-10-24,AL,1 wk ahead inc flu hosp,262
2022-10-24,GA,1 wk ahead inc flu hosp,176
2022-10-24,MS,1 wk ahead inc flu hosp,165
2022-10-24,SC,1 wk ahead inc flu hosp,163
2022-10-31,AL,1 wk ahead inc flu hosp,360
2022-10-31,GA,1 wk ahead inc flu hosp,217
2022-10-31,MS,1 wk ahead inc flu hosp,255
2022-10-31,SC,1 wk ahead inc flu hosp,258
2022-11-07,AL,1 wk ahead inc flu hosp,303
2022-11-07,GA,1 wk ahead inc flu hosp,250
2022-11-07,MS,1 wk ahead inc flu hosp,258
2022-11-07,SC,1 wk ahead inc flu hosp,254
2022-11-14,AL,1 wk ahead inc flu hosp,226
2022-11-14,GA,1 wk ahead inc flu hosp,193
2022-11-14,MS,1 wk ahead inc flu hosp,243
2022-11-14,SC,1 wk ahead inc flu hosp,215
2022-11-21,AL,1 wk ahead inc flu hosp,261
2022-11-21,GA,1 wk ahead inc flu hosp,251
2022-11-21,MS,1 wk ahead inc flu hosp,282
2022-11-21,SC,1 wk ahead inc flu hosp,233
2022-11-28,AL,1 wk ahead inc flu hosp,351
2022-11-28,GA,1 wk ahead inc flu hosp,252
2022-11-28,MS,1 wk ahead inc flu hosp,258
2022-11-28,SC,1 wk ahead inc flu hosp,223
2022-12-05,AL,1 wk ahead inc flu hosp,223
2022-12-05,GA,1 wk ahead inc flu hosp,172
2022-12-05,MS,1 wk ahead inc flu hosp,171
2022-12-05,SC,1 wk ahead inc flu hosp,163
2022-12-12,AL,1 wk ahead inc flu hosp,143
2022-12-12,GA,1 wk ahead inc flu hosp,138
2022-12-12,MS,1 wk ahead inc flu hosp,133
2022-12-12,SC,1 wk ahead inc flu hosp,137
2022-12-19,AL,1 wk ahead inc flu hosp,155
2022-12-19,GA,1 wk ahead inc flu hosp,162
2022-12-19,MS,1 wk ahead inc flu hosp,87
2022-12-19,SC,1 wk ahead inc flu hosp,128
2022-12-26,AL,1 wk ahead inc flu hosp,140
2022-12-26,GA,1 wk ahead inc flu hosp,195
2022-12-26,MS,1 wk ahead inc flu hosp,121
2022-12-26,SC,1 wk ahead inc flu hosp,160
2023-01-02,AL,1 wk ahead inc flu hosp,125
2023-01-02,GA,1 wk ahead inc flu hosp,168
2023-01-02,MS,1 wk ahead inc flu hosp,86
2023-01-02,SC,1 wk ahead inc flu hosp,128
2023-01-09,AL,1 wk ahead inc flu hosp,94
2023-01-09,GA,1 wk ahead inc flu hosp,106
2023-01-09,MS,1 wk ahead inc flu hosp,47
2023-01-09,SC,1 wk ahead inc flu hosp,78
2023-01-16,AL,1 wk ahead inc flu hosp,57
2023-01-16,GA,1 wk ahead inc flu hosp,71
2023-01-16,MS,1 wk ahead inc flu hosp,58
2023-01-16,SC,1 wk ahead inc flu hosp,60
2023-01-23,AL,1 wk ahead inc flu hosp,42
2023-01-23,GA,1 wk ahead inc flu hosp,70
2023-01-23,MS,1 wk ahead inc flu hosp,30
2023-01-23,SC,1 wk ahead inc flu hosp,34
2023-01-30,AL,1 wk ahead inc flu hosp,28
2023-01-30,GA,1 wk ahead inc flu hosp,88
2023-01-30,MS,1 wk ahead inc flu hosp,27
2023-01-30,SC,1 wk ahead inc flu hosp,42
2023-02-06,AL,1 wk ahead inc flu hosp,33
2023-02-06,GA,1 wk ahead inc flu hosp,82
2023-02-06,MS,1 wk ahead inc flu hosp,19
2023-02-06,SC,1 wk ahead inc flu hosp,47
2023-02-13,AL,1 wk ahead inc flu hosp,31
2023-02-13,GA,1 wk ahead inc flu hosp,69
2023-02-13,MS,1 wk ahead inc flu hosp,33
2023-02-13,SC,1 wk ahead inc flu hosp,42
2023-02-20,AL,1 wk ahead inc flu hosp,26
2023-02-20,GA,1 wk ahead inc flu hosp,70
2023-02-20,MS,1 wk ahead inc flu hosp,31
2023-02-20,SC,1 wk ahead inc flu hosp,38
2023-02-27,AL,1 wk ahead inc flu hosp,18
2023-02-27,GA,1 wk ahead inc flu hosp,44
2023-02-27,MS,1 wk ahead inc flu hosp,34
2023-02-27,SC,1 wk ahead inc flu hosp,32
2023-03-06,AL,1 wk ahead inc flu hosp,16
2023-03-06,GA,1 wk ahead inc flu hosp,55
2023-03-06,MS,1 wk ahead inc flu hosp,30
2023-03-06,SC,1 wk ahead inc flu hosp,26
2023-03-13,AL,1 wk ahead inc flu hosp,24
2023-03-13,GA,1 wk ahead inc flu hosp,51
2023-03-13,MS,1 wk ahead inc flu hosp,23
2023-03-13,SC,1 wk ahead inc flu hosp,21
2023-03-20,AL,1 wk ahead inc flu hosp,20
2023-03-20,GA,1 wk ahead inc flu hosp,68
2023-03-20,MS,1 wk ahead inc flu hosp,15
2023-03-20,SC,1 wk ahead inc flu hosp,25
2023-03-27,AL,1 wk ahead inc flu hosp,26
2023-03-27,GA,1 wk ahead inc flu hosp,49
2023-03-27,MS,1 wk ahead inc flu hosp,20
2023-03-27,SC,1 wk ahead inc flu hosp,20
2023-04-03,AL,1 wk ahead inc flu hosp,14
2023-04-03,GA,1 wk ahead inc flu hosp,48
2023-04-03,MS,1 wk ahead inc flu hosp,25
2023-04-03,SC,1 wk ahead inc flu hosp,25
2023-04-10,AL,1 wk ahead inc flu hosp,19
2023-04-10,GA,1 wk ahead inc flu hosp,30
2023-04-10,MS,1 wk ahead inc flu hosp,19
2023-04-10,SC,1 wk ahead inc flu hosp,19
2023-04-17,AL,1 wk ahead inc flu hosp,19
2023-04-17,GA,1 wk ahead inc flu hosp,48
2023-04-17,MS,1 wk ahead inc flu hosp,31
2023-04-17,SC,1 wk ahead inc flu hosp,23
2023-04-24,AL,1 wk ahead inc flu hosp,9
2023-04-24,GA,1 wk ahead inc flu hosp,42
2023-04-24,MS,1 wk ahead inc flu hosp,18
2023-04-24,SC,1 wk ahead inc flu hosp,26
