timezero,unit,target,value
2023-10-07,DE,1 wk inc flu hosp,0
2023-10-07,MD,1 wk inc flu hosp,3
2023-10-07,NJ,1 wk inc flu hosp,13
2023-10-07,NY,1 wk inc flu hosp,26
2023-10-07,OH,1 wk inc flu hosp,21
2023-10-07,WV,1 wk inc flu hosp,3
2023-10-14,DE,1 wk inc flu hosp,1
2023-10-14,MD,1 wk inc flu hosp,9
2023-10-14,NJ,1 wk inc flu hosp,33
2023-10-14,NY,1 wk inc flu hosp,37
2023-10-14,OH,1 wk inc flu hosp,25
2023-10-14,WV,1 wk inc flu hosp,3
2023-10-21,DE,1 wk inc flu hosp,1
2023-10-21,MD,1 wk inc flu hosp,10
2023-10-21,NJ,1 wk inc flu hosp,44
2023-10-21,NY,1 wk inc flu hosp,48
2023-10-21,OH,1 wk inc flu hosp,17
2023-10-21,WV,1 wk inc flu hosp,4
2023-10-28,DE,1 wk inc flu hosp,1
2023-10-28,MD,1 wk inc flu hosp,15
2023-10-28,NJ,1 wk inc flu hosp,26
2023-10-28,NY,1 wk inc flu hosp,57
2023-10-28,OH,1 wk inc flu hosp,21
2023-10-28,WV,1 wk inc flu hosp,7
2023-11-04,DE,1 wk inc flu hosp,1
2023-11-04,MD,1 wk inc flu hosp,19
2023-11-04,NJ,1 wk inc flu hosp,46
2023-11-04,NY,1 wk inc flu hosp,88
2023-11-04,OH,1 wk inc flu hosp,26
2023-11-04,WV,1 wk inc flu hosp,14
2023-11-11,DE,1 wk inc flu hosp,2
2023-11-11,MD,1 wk inc flu hosp,27
2023-11-11,NJ,1 wk inc flu hosp,33
2023-11-11,NY,1 wk inc flu hosp,123
2023-11-11,OH,1 wk inc flu hosp,56
2023-11-11,WV,1 wk inc flu hosp,8
2023-11-18,DE,1 wk inc flu hosp,1
2023-11-18,MD,1 wk inc flu hosp,22
2023-11-18,NJ,1 wk inc flu hosp,75
2023-11-18,NY,1 wk inc flu hosp,178
2023-11-18,OH,1 wk inc flu hosp,75
2023-11-18,WV,1 wk inc flu hosp,13
2023-11-25,DE,1 wk inc flu hosp,2
2023-11-25,MD,1 wk inc flu hosp,60
2023-11-25,NJ,1 wk inc flu hosp,129
2023-11-25,NY,1 wk inc flu hosp,345
2023-11-25,OH,1 wk inc flu hosp,134
2023-11-25,WV,1 wk inc flu hosp,17
2023-12-02,DE,1 wk inc flu hosp,10
2023-12-02,MD,1 wk inc flu hosp,78
2023-12-02,NJ,1 wk inc flu hosp,160
2023-12-02,NY,1 wk inc flu hosp,509
2023-12-02,OH,1 wk inc flu hosp,161
2023-12-02,WV,1 wk inc flu hosp,20
2023-12-09,DE,1 wk inc flu hosp,18
2023-12-09,MD,1 wk inc flu hosp,115
2023-12-09,NJ,1 wk inc flu hosp,305
2023-12-09,NY,1 wk inc flu hosp,744
2023-12-09,OH,1 wk inc flu hosp,239
2023-12-09,WV,1 wk inc flu hosp,33
