Timestamp,I,D,H
1,137912,3940,52822.0
2,157998,1610,53588.0
3,67808,700,53797.0
4,56562,412,54874.0
5,174919,1425,56687.0
6,112469,1513,58121.0
7,149378,1821,58893.0
8,123935,1553,59505.0
9,157415,1753,60286.0
10,57742,624,60073.0
11,53397,371,60909.0
12,183254,1391,62293.0
13,113350,1512,62481.0
14,145615,2232,62353.0
15,142190,1268,62198.0
16,192509,1864,62158.0
17,81681,679,61048.0
18,90919,320,61583.0
19,241162,1550,62826.0
20,182274,1913,63097.0
21,247854,4185,63930.0
22,274389,1405,64478.0
23,248269,689,64624.0
24,88315,242,65267.0
25,183521,370,68492.0
26,506071,1846,73248.0
27,372460,2291,77973.0
28,511018,2355,83424.0
29,597947,1487,87691.0
30,512042,731,91389.0
