date,Infected,Hospitalized,Dead
2020-01-22,1.0,,0.0
2020-01-23,1.0,,0.0
2020-01-24,1.0,,0.0
2020-01-25,1.0,,0.0
2020-01-26,1.0,,0.0
2020-01-27,1.0,,0.0
2020-01-28,1.0,,0.0
2020-01-29,1.0,,0.0
2020-01-30,1.0,,0.0
2020-01-31,1.0,,0.0
2020-02-01,1.0,,0.0
2020-02-02,1.0,,0.0
2020-02-03,1.0,,0.0
2020-02-04,1.0,,0.0
2020-02-05,1.0,,0.0
2020-02-06,1.0,,0.0
2020-02-07,1.0,,0.0
2020-02-08,1.0,,0.0
2020-02-09,1.0,,0.0
2020-02-10,1.0,,0.0
2020-02-11,1.0,,0.0
2020-02-12,1.0,,0.0
2020-02-13,1.0,,0.0
2020-02-14,1.0,,0.0
2020-02-15,1.0,,0.0
2020-02-16,1.0,,0.0
2020-02-17,1.0,,0.0
2020-02-18,1.0,,0.0
2020-02-19,1.0,,0.0
2020-02-20,1.0,,0.0
2020-02-21,1.0,,0.0
2020-02-22,1.0,,0.0
2020-02-23,1.0,,0.0
2020-02-24,1.0,,0.0
2020-02-25,1.0,,0.0
2020-02-26,1.0,,0.0
2020-02-27,1.0,,0.0
2020-02-28,1.0,,0.0
2020-02-29,7.0,,1.0
2020-03-01,11.0,,1.0
2020-03-02,18.0,,6.0
2020-03-03,27.0,,7.0
2020-03-04,39.0,,10.0
2020-03-05,70.0,,11.0
2020-03-06,78.0,,13.0
2020-03-07,102.0,,16.0
2020-03-08,122.0,,18.0
2020-03-09,122.0,,19.0
2020-03-10,167.0,,23.0
2020-03-11,282.0,,24.0
2020-03-12,442.0,,31.0
2020-03-13,568.0,,37.0
2020-03-14,642.0,,39.0
2020-03-15,603.0,,40.0
2020-03-16,779.0,,48.0
2020-03-17,955.0,,55.0
2020-03-18,1022.0,,67.0
2020-03-19,1374.0,,73.0
2020-03-20,1524.0,,83.0
2020-03-21,1793.0,,94.0
2020-03-22,1997.0,,97.0
2020-03-23,2221.0,,109.0
2020-03-24,2328.0,,116.0
2020-03-25,2591.0,,133.0
2020-03-26,3207.0,,150.0
2020-03-27,3477.0,,157.0
2020-03-28,4030.0,,188.0
2020-03-29,4465.0,,198.0
2020-03-30,4923.0,,205.0
2020-03-31,5432.0,,225.0
2020-04-01,5608.0,,310.0
2020-04-02,6389.0,,340.0
2020-04-03,6846.0,,369.0
2020-04-04,7247.0,,398.0
2020-04-05,7825.0,,426.0
2020-04-06,8311.0,,450.0
2020-04-07,8692.0,,474.0
2020-04-08,9276.0,,489.0
2020-04-09,9639.0,,507.0
2020-04-10,10119.0,,524.0
2020-04-11,10434.0,,547.0
2020-04-12,10609.0,,562.0
2020-04-13,10635.0,,582.0
2020-04-14,10799.0,,599.0
2020-04-15,10942.0,,609.0
2020-04-16,11057.0,,630.0
2020-04-17,11517.0,,649.0
2020-04-18,11776.0,,666.0
2020-04-19,11978.0,,690.0
2020-04-20,12114.0,,709.0
2020-04-21,12392.0,,725.0
2020-04-22,12596.0,,734.0
2020-04-23,12753.0,,747.0
2020-04-24,12977.0,,762.0
2020-04-25,13319.0,,779.0
2020-04-26,13521.0,,799.0
2020-04-27,13686.0,,810.0
2020-04-28,13842.0,,820.0
2020-04-29,14070.0,,828.0
2020-04-30,14327.0,,836.0
2020-05-01,14637.0,,850.0
2020-05-02,15003.0,,862.0
2020-05-03,15185.0,,874.0
2020-05-04,15462.0,,885.0
2020-05-05,15594.0,,898.0
2020-05-06,15905.0,,911.0
2020-05-07,16231.0,,925.0
2020-05-08,16388.0,,941.0
2020-05-09,16674.0,,952.0
2020-05-10,16891.0,,968.0
2020-05-11,17122.0,,974.0
2020-05-12,17330.0,,990.0
2020-05-13,17512.0,,996.0
2020-05-14,17773.0,,1004.0
2020-05-15,17951.0,,1016.0
2020-05-16,18288.0,,1024.0
2020-05-17,18433.0,,1035.0
2020-05-18,18611.0,,1041.0
2020-05-19,18811.0,,1048.0
2020-05-20,18971.0,,1052.0
2020-05-21,19117.0,,1061.0
2020-05-22,19265.0,,1066.0
2020-05-23,19265.0,,1075.0
2020-05-24,19828.0,,1084.0
2020-05-25,20065.0,,1088.0
2020-05-26,20181.0,,1094.0
2020-05-27,20406.0,,1105.0
2020-05-28,20764.0,,1109.0
2020-05-29,21071.0,,1115.0
2020-05-30,21349.0,,1117.0
2020-05-31,21702.0,,1123.0
2020-06-01,22239.0,,1128.0
2020-06-02,22516.0,,1134.0
2020-06-03,22764.0,,1139.0
2020-06-04,23024.0,,1150.0
2020-06-05,23483.0,,1155.0
2020-06-06,23767.0,,1159.0
2020-06-07,24078.0,,1170.0
2020-06-08,24378.0,,1180.0
2020-06-09,24630.0,,1185.0
2020-06-10,24892.0,,1186.0
2020-06-11,25176.0,,1198.0
2020-06-12,25542.0,,1203.0
2020-06-13,25825.0,,1207.0
2020-06-14,26158.0,,1209.0
2020-06-15,26530.0,,1211.0
2020-06-16,26787.0,,1219.0
2020-06-17,27193.0,,1225.0
2020-06-18,27608.0,,1232.0
2020-06-19,28225.0,,1239.0
2020-06-20,28676.0,,1243.0
2020-06-21,28874.0,,1248.0
2020-06-22,29394.0,,1253.0
2020-06-23,29874.0,,1263.0
2020-06-24,30372.0,,1266.0
2020-06-25,30866.0,,1270.0
2020-06-26,31422.0,,1281.0
2020-06-27,31766.0,,1288.0
2020-06-28,32267.0,,1292.0
2020-06-29,32831.0,,1297.0
2020-06-30,33439.0,,1303.0
2020-07-01,34152.0,,1309.0
2020-07-02,34909.0,,1319.0
2020-07-03,35260.0,,1328.0
2020-07-04,35902.0,,1335.0
2020-07-05,36959.0,,1342.0
2020-07-06,37393.0,,1351.0
2020-07-07,37916.0,,1360.0
2020-07-08,38563.0,,1368.0
2020-07-09,39202.0,,1384.0
2020-07-10,39806.0,,1393.0
2020-07-11,40672.0,,1400.0
2020-07-12,41749.0,,1405.0
2020-07-13,42295.0,,1414.0
2020-07-14,43037.0,26.0,1426.0
2020-07-15,44299.0,48.0,1429.0
2020-07-16,45052.0,77.0,1435.0
2020-07-17,46022.0,103.0,1441.0
2020-07-18,46956.0,133.0,1448.0
2020-07-19,47751.0,162.0,1457.0
2020-07-20,48590.0,205.0,1468.0
2020-07-21,49250.0,234.0,1480.0
2020-07-22,49982.0,264.0,1488.0
2020-07-23,50832.0,293.0,1497.0
2020-07-24,51870.0,320.0,1510.0
2020-07-25,52669.0,348.0,1522.0
2020-07-26,53339.0,377.0,1537.0
2020-07-27,54201.0,403.0,1545.0
2020-07-28,54979.0,428.0,1559.0
2020-07-29,55751.0,457.0,1575.0
2020-07-30,56736.0,487.0,1588.0
2020-07-31,57586.0,516.0,1603.0
2020-08-01,58216.0,537.0,1619.0
2020-08-02,58767.0,566.0,1628.0
2020-08-03,59447.0,595.0,1638.0
2020-08-04,60132.0,625.0,1656.0
2020-08-05,60963.0,669.0,1677.0
2020-08-06,61686.0,688.0,1685.0
2020-08-07,62583.0,715.0,1702.0
2020-08-08,63189.0,740.0,1711.0
2020-08-09,63769.0,766.0,1722.0
2020-08-10,64260.0,805.0,1733.0
2020-08-11,64800.0,829.0,1741.0
2020-08-12,65439.0,853.0,1755.0
2020-08-13,66254.0,892.0,1765.0
2020-08-14,66989.0,936.0,1780.0
2020-08-15,67581.0,975.0,1791.0
2020-08-16,67854.0,1003.0,1802.0
2020-08-17,68386.0,1028.0,1809.0
2020-08-18,68922.0,1051.0,1816.0
2020-08-19,69662.0,1077.0,1828.0
2020-08-20,70180.0,1098.0,1836.0
2020-08-21,71007.0,1116.0,1840.0
2020-08-22,71471.0,1128.0,1845.0
2020-08-23,71814.0,1141.0,1849.0
2020-08-24,72161.0,1169.0,1856.0
2020-08-25,72634.0,1189.0,1862.0
2020-08-26,73217.0,1214.0,1877.0
2020-08-27,73801.0,1240.0,1886.0
2020-08-28,74420.0,1265.0,1894.0
2020-08-29,74885.0,1281.0,1899.0
2020-08-30,75195.0,1299.0,1904.0
2020-08-31,75502.0,1317.0,1912.0
2020-09-01,75977.0,1362.0,1918.0
2020-09-02,76537.0,1414.0,1924.0
2020-09-03,77034.0,1451.0,1930.0
2020-09-04,77559.0,1483.0,1932.0
2020-09-05,77979.0,1517.0,1942.0
2020-09-06,78295.0,1547.0,1948.0
2020-09-07,78492.0,1582.0,1952.0
2020-09-08,78781.0,1613.0,1954.0
2020-09-09,79280.0,1630.0,1958.0
2020-09-10,79880.0,1656.0,1965.0
2020-09-11,80374.0,1679.0,1972.0
2020-09-12,80738.0,1701.0,1978.0
2020-09-13,81056.0,1731.0,1983.0
2020-09-14,81392.0,1756.0,1990.0
2020-09-15,81776.0,1788.0,1999.0
2020-09-16,82193.0,1817.0,2007.0
2020-09-17,82610.0,1852.0,2013.0
2020-09-18,83239.0,1884.0,2021.0
2020-09-19,83622.0,1906.0,2026.0
2020-09-20,83925.0,1935.0,2034.0
