Timestamp,Infected,Hospitalized,Dead
0,455103.0,19802.0,5997.0
1,455103.0,19832.0,5997.0
2,456709.0,19875.0,6000.0
3,457814.0,19919.0,6022.0
4,458517.0,19964.0,6027.0
5,459306.0,20012.0,6036.0
6,460067.0,20052.0,6042.0
7,460067.0,20097.0,6042.0
8,460067.0,20144.0,6042.0
9,461847.0,20186.0,6043.0
10,462577.0,20246.0,6056.0
11,463537.0,20305.0,6063.0
12,466099.0,20364.0,6066.0
13,466099.0,20411.0,6066.0
14,466235.0,20473.0,6078.0
15,466235.0,20538.0,6078.0
16,469308.0,20610.0,6089.0
17,470333.0,20699.0,6097.0
18,471489.0,20775.0,6100.0
19,472362.0,20861.0,6119.0
20,473076.0,20938.0,6122.0
21,473076.0,21004.0,6122.0
