,date,location,infectious_period,new_cases,case_census
0,2020-01-22,US,10,1,1
1,2020-01-23,US,10,0,1
2,2020-01-24,US,10,1,2
3,2020-01-25,US,10,0,2
4,2020-01-26,US,10,3,5
5,2020-01-27,US,10,0,5
6,2020-01-28,US,10,0,5
7,2020-01-29,US,10,1,6
8,2020-01-30,US,10,0,6
9,2020-01-31,US,10,2,8
10,2020-02-01,US,10,0,7
11,2020-02-02,US,10,0,7
12,2020-02-03,US,10,3,9
13,2020-02-04,US,10,0,9
14,2020-02-05,US,10,0,6
15,2020-02-06,US,10,1,7
16,2020-02-07,US,10,0,7
17,2020-02-08,US,10,0,6
18,2020-02-09,US,10,0,6
19,2020-02-10,US,10,0,4
20,2020-02-11,US,10,1,5
21,2020-02-12,US,10,0,5
22,2020-02-13,US,10,1,3
23,2020-02-14,US,10,0,3
24,2020-02-15,US,10,0,3
25,2020-02-16,US,10,0,2
26,2020-02-17,US,10,1,3
27,2020-02-18,US,10,1,4
28,2020-02-19,US,10,0,4
29,2020-02-20,US,10,0,4
30,2020-02-21,US,10,0,3
31,2020-02-22,US,10,0,3
32,2020-02-23,US,10,0,2
33,2020-02-24,US,10,1,3
34,2020-02-25,US,10,1,4
35,2020-02-26,US,10,1,5
36,2020-02-27,US,10,0,4
37,2020-02-28,US,10,0,3
38,2020-02-29,US,10,7,10
39,2020-03-01,US,10,13,23
40,2020-03-02,US,10,18,41
41,2020-03-03,US,10,22,63
42,2020-03-04,US,10,34,97
43,2020-03-05,US,10,71,167
44,2020-03-06,US,10,63,229
45,2020-03-07,US,10,170,398
46,2020-03-08,US,10,121,519
47,2020-03-09,US,10,92,611
48,2020-03-10,US,10,167,771
49,2020-03-11,US,10,359,1117
50,2020-03-12,US,10,440,1539
51,2020-03-13,US,10,626,2143
52,2020-03-14,US,10,730,2839
53,2020-03-15,US,10,282,3050
54,2020-03-16,US,10,1433,4420
55,2020-03-17,US,10,1783,6033
56,2020-03-18,US,10,2706,8618
57,2020-03-19,US,10,4507,13033
58,2020-03-20,US,10,6401,19267
59,2020-03-21,US,10,5992,24900
60,2020-03-22,US,10,8888,33348
61,2020-03-23,US,10,11152,43874
62,2020-03-24,US,10,10618,53762
63,2020-03-25,US,10,12127,65607
64,2020-03-26,US,10,17821,81995
65,2020-03-27,US,10,18591,98803
66,2020-03-28,US,10,22164,118261
67,2020-03-29,US,10,16127,129881
68,2020-03-30,US,10,22154,145634
69,2020-03-31,US,10,26381,166023
70,2020-04-01,US,10,35464,192599
71,2020-04-02,US,10,32255,213702
72,2020-04-03,US,10,32403,235487
73,2020-04-04,US,10,31764,255124
74,2020-04-05,US,10,29152,266455
75,2020-04-06,US,10,31993,279857
76,2020-04-07,US,10,30146,287839
77,2020-04-08,US,10,31244,302956
78,2020-04-09,US,10,35481,316283
79,2020-04-10,US,10,34415,324317
80,2020-04-11,US,10,28917,317770
81,2020-04-12,US,10,26238,311753
82,2020-04-13,US,10,27238,306588
83,2020-04-14,US,10,28517,303341
84,2020-04-15,US,10,26039,300228
85,2020-04-16,US,10,29617,297852
86,2020-04-17,US,10,33190,300896
87,2020-04-18,US,10,27312,296964
88,2020-04-19,US,10,25424,286907
89,2020-04-20,US,10,30261,282753
90,2020-04-21,US,10,26329,280165
91,2020-04-22,US,10,29967,283894
92,2020-04-23,US,10,32078,288734
93,2020-04-24,US,10,31491,291708
94,2020-04-25,US,10,30626,296295
95,2020-04-26,US,10,25897,292575
96,2020-04-27,US,10,24693,284078
97,2020-04-28,US,10,24604,281370
98,2020-04-29,US,10,26809,282755
99,2020-04-30,US,10,29507,282001
100,2020-05-01,US,10,34822,290494
101,2020-05-02,US,10,26647,287174
102,2020-05-03,US,10,23570,278666
103,2020-05-04,US,10,24051,271226
104,2020-05-05,US,10,24081,264681
105,2020-05-06,US,10,24373,263157
106,2020-05-07,US,10,28210,266674
107,2020-05-08,US,10,27207,269277
108,2020-05-09,US,10,24247,266715
109,2020-05-10,US,10,18703,255911
110,2020-05-11,US,10,19222,240311
111,2020-05-12,US,10,23378,237042
112,2020-05-13,US,10,20001,233473
113,2020-05-14,US,10,25877,235299
114,2020-05-15,US,10,24399,235617
115,2020-05-16,US,10,23868,235112
116,2020-05-17,US,10,18643,225545
117,2020-05-18,US,10,22384,220722
118,2020-05-19,US,10,20758,217233
119,2020-05-20,US,10,22839,221369
120,2020-05-21,US,10,25112,227259
121,2020-05-22,US,10,23922,227803
122,2020-05-23,US,10,19928,227730
123,2020-05-24,US,10,20121,221974
124,2020-05-25,US,10,19186,216761
125,2020-05-26,US,10,18696,211589
126,2020-05-27,US,10,18805,211751
127,2020-05-28,US,10,21129,210496
128,2020-05-29,US,10,24737,214475
129,2020-05-30,US,10,22717,214353
130,2020-05-31,US,10,18764,208005
131,2020-06-01,US,10,17837,201920
132,2020-06-02,US,10,19956,201948
133,2020-06-03,US,10,19048,200875
134,2020-06-04,US,10,27711,209400
135,2020-06-05,US,10,26181,216885
136,2020-06-06,US,10,20153,218233
