,date,location,cumulative_deaths
3640462,2020-01-22,US,1
3640463,2020-01-23,US,1
3640464,2020-01-24,US,1
3640465,2020-01-25,US,1
3640466,2020-01-26,US,1
3640467,2020-01-27,US,1
3640468,2020-01-28,US,1
3640469,2020-01-29,US,1
3640470,2020-01-30,US,1
3640471,2020-01-31,US,1
3640472,2020-02-01,US,1
3640473,2020-02-02,US,1
3640474,2020-02-03,US,1
3640475,2020-02-04,US,1
3640476,2020-02-05,US,1
3640477,2020-02-06,US,1
3640478,2020-02-07,US,1
3640479,2020-02-08,US,1
3640480,2020-02-09,US,1
3640481,2020-02-10,US,1
3640482,2020-02-11,US,1
3640483,2020-02-12,US,1
3640484,2020-02-13,US,1
3640485,2020-02-14,US,1
3640486,2020-02-15,US,1
3640487,2020-02-16,US,1
3640488,2020-02-17,US,1
3640489,2020-02-18,US,1
3640490,2020-02-19,US,1
3640491,2020-02-20,US,1
3640492,2020-02-21,US,1
3640493,2020-02-22,US,1
3640494,2020-02-23,US,1
3640495,2020-02-24,US,1
3640496,2020-02-25,US,1
3640497,2020-02-26,US,1
3640498,2020-02-27,US,1
3640499,2020-02-28,US,1
3640500,2020-02-29,US,2
3640501,2020-03-01,US,2
3640502,2020-03-02,US,7
3640503,2020-03-03,US,8
3640504,2020-03-04,US,12
3640505,2020-03-05,US,13
3640506,2020-03-06,US,15
3640507,2020-03-07,US,18
3640508,2020-03-08,US,22
3640509,2020-03-09,US,24
3640510,2020-03-10,US,29
3640511,2020-03-11,US,34
3640512,2020-03-12,US,45
3640513,2020-03-13,US,52
3640514,2020-03-14,US,61
3640515,2020-03-15,US,72
3640516,2020-03-16,US,97
3640517,2020-03-17,US,133
3640518,2020-03-18,US,198
3640519,2020-03-19,US,273
3640520,2020-03-20,US,378
3640521,2020-03-21,US,482
3640522,2020-03-22,US,603
3640523,2020-03-23,US,790
3640524,2020-03-24,US,1033
3640525,2020-03-25,US,1366
3640526,2020-03-26,US,1783
3640527,2020-03-27,US,2305
3640528,2020-03-28,US,3018
3640529,2020-03-29,US,3573
3640530,2020-03-30,US,4280
3640531,2020-03-31,US,5359
3640532,2020-04-01,US,6989
3640533,2020-04-02,US,8535
3640534,2020-04-03,US,9970
3640535,2020-04-04,US,11589
3640536,2020-04-05,US,13226
3640537,2020-04-06,US,14989
3640538,2020-04-07,US,17595
3640539,2020-04-08,US,19747
3640540,2020-04-09,US,22003
3640541,2020-04-10,US,24160
3640542,2020-04-11,US,26295
3640543,2020-04-12,US,28203
3640544,2020-04-13,US,30204
3640545,2020-04-14,US,32685
3640546,2020-04-15,US,35284
3640547,2020-04-16,US,37479
3640548,2020-04-17,US,39583
3640549,2020-04-18,US,41521
3640550,2020-04-19,US,43510
3640551,2020-04-20,US,45768
3640552,2020-04-21,US,48245
3640553,2020-04-22,US,50710
3640554,2020-04-23,US,53137
3640555,2020-04-24,US,55201
3640556,2020-04-25,US,56939
3640557,2020-04-26,US,58354
3640558,2020-04-27,US,59840
3640559,2020-04-28,US,62072
3640560,2020-04-29,US,64446
3640561,2020-04-30,US,66636
3640562,2020-05-01,US,68516
3640563,2020-05-02,US,70289
3640564,2020-05-03,US,71492
3640565,2020-05-04,US,72862
3640566,2020-05-05,US,75041
3640567,2020-05-06,US,77359
3640568,2020-05-07,US,79262
3640569,2020-05-08,US,81031
3640570,2020-05-09,US,82502
3640571,2020-05-10,US,83503
3640572,2020-05-11,US,84529
3640573,2020-05-12,US,86119
3640574,2020-05-13,US,87814
3640575,2020-05-14,US,89579
3640576,2020-05-15,US,91205
3640577,2020-05-16,US,92374
3640578,2020-05-17,US,93190
3640579,2020-05-18,US,94412
3640580,2020-05-19,US,95840
3640581,2020-05-20,US,97309
3640582,2020-05-21,US,98491
3640583,2020-05-22,US,99695
3640584,2020-05-23,US,100773
3640585,2020-05-24,US,101410
3640586,2020-05-25,US,102010
3640587,2020-05-26,US,102663
3640588,2020-05-27,US,104115
3640589,2020-05-28,US,105180
3640590,2020-05-29,US,106289
3640591,2020-05-30,US,107236
3640592,2020-05-31,US,107857
3640593,2020-06-01,US,108624
3640594,2020-06-02,US,109603
3640595,2020-06-03,US,110602
3640596,2020-06-04,US,111600
3640597,2020-06-05,US,112469
3640598,2020-06-06,US,113107
3640599,2020-06-07,US,113567
3640600,2020-06-08,US,114069
3640601,2020-06-09,US,114978
3640602,2020-06-10,US,115836
3640603,2020-06-11,US,116643
3640604,2020-06-12,US,117466
3640605,2020-06-13,US,118173
3640606,2020-06-14,US,118521
3640607,2020-06-15,US,118919
3640608,2020-06-16,US,119694
3640609,2020-06-17,US,120435
3640610,2020-06-18,US,121132
3640611,2020-06-19,US,121760
3640612,2020-06-20,US,122323
3640613,2020-06-21,US,122642
3640614,2020-06-22,US,123021
3640615,2020-06-23,US,123751
3640616,2020-06-24,US,124506
3640617,2020-06-25,US,125058
3640618,2020-06-26,US,125688
3640619,2020-06-27,US,126188
3640620,2020-06-28,US,126512
3640621,2020-06-29,US,126881
3640622,2020-06-30,US,127430
3640623,2020-07-01,US,128132
3640624,2020-07-02,US,128881
3640625,2020-07-03,US,129560
3640626,2020-07-04,US,129870
3640627,2020-07-05,US,130199
3640628,2020-07-06,US,130580
3640629,2020-07-07,US,131721
3640630,2020-07-08,US,132560
3640631,2020-07-09,US,133598
3640632,2020-07-10,US,134405
3640633,2020-07-11,US,135165
3640634,2020-07-12,US,135638
3640635,2020-07-13,US,136082
3640636,2020-07-14,US,136987
3640637,2020-07-15,US,137940
3640638,2020-07-16,US,138918
3640639,2020-07-17,US,139842
3640640,2020-07-18,US,140732
3640641,2020-07-19,US,141214
3640642,2020-07-20,US,141749
3640643,2020-07-21,US,142843
3640644,2020-07-22,US,144064
3640645,2020-07-23,US,145137
3640646,2020-07-24,US,146229
3640647,2020-07-25,US,147193
3640648,2020-07-26,US,147741
3640649,2020-07-27,US,148845
3640650,2020-07-28,US,150060
3640651,2020-07-29,US,151492
3640652,2020-07-30,US,152805
3640653,2020-07-31,US,153967
3640654,2020-08-01,US,155088
3640655,2020-08-02,US,155564
3640656,2020-08-03,US,156124
3640657,2020-08-04,US,157372
3640658,2020-08-05,US,158787
3640659,2020-08-06,US,159968
3640660,2020-08-07,US,161263
3640661,2020-08-08,US,162352
3640662,2020-08-09,US,162933
3640663,2020-08-10,US,163461
3640664,2020-08-11,US,164541
3640665,2020-08-12,US,166045
3640666,2020-08-13,US,167073
3640667,2020-08-14,US,168376
3640668,2020-08-15,US,169419
3640669,2020-08-16,US,170030
3640670,2020-08-17,US,170509
3640671,2020-08-18,US,171738
3640672,2020-08-19,US,172417
3640673,2020-08-20,US,173515
3640674,2020-08-21,US,174612
3640675,2020-08-22,US,175574
3640676,2020-08-23,US,176076
3640677,2020-08-24,US,176507
3640678,2020-08-25,US,177724
3640679,2020-08-26,US,178877
3640680,2020-08-27,US,179985
3640681,2020-08-28,US,180901
3640682,2020-08-29,US,181864
3640683,2020-08-30,US,182304
3640684,2020-08-31,US,182789
3640685,2020-09-01,US,183850
3640686,2020-09-02,US,184923
3640687,2020-09-03,US,185946
3640688,2020-09-04,US,186896
3640689,2020-09-05,US,187687
3640690,2020-09-06,US,188125
3640691,2020-09-07,US,188448
3640692,2020-09-08,US,188917
3640693,2020-09-09,US,190017
3640694,2020-09-10,US,190926
3640695,2020-09-11,US,192068
3640696,2020-09-12,US,192805
3640697,2020-09-13,US,193196
3640698,2020-09-14,US,193620
3640699,2020-09-15,US,194806
3640700,2020-09-16,US,195736
3640701,2020-09-17,US,196583
3640702,2020-09-18,US,197540
3640703,2020-09-19,US,198205
3640704,2020-09-20,US,198471
3640705,2020-09-21,US,198881
3640706,2020-09-22,US,199902
3640707,2020-09-23,US,200953
3640708,2020-09-24,US,201838
3640709,2020-09-25,US,202753
3640710,2020-09-26,US,203515
3640711,2020-09-27,US,203818
3640712,2020-09-28,US,204151
3640713,2020-09-29,US,205042
3640714,2020-09-30,US,205947
3640715,2020-10-01,US,206842
3640716,2020-10-02,US,207730
3640717,2020-10-03,US,208402
3640718,2020-10-04,US,208771
3640719,2020-10-05,US,209246
3640720,2020-10-06,US,209933
3640721,2020-10-07,US,210837
3640722,2020-10-08,US,211813
3640723,2020-10-09,US,212773
3640724,2020-10-10,US,213421
3640725,2020-10-11,US,213884
3640726,2020-10-12,US,214277
3640727,2020-10-13,US,215008
3640728,2020-10-14,US,215996
3640729,2020-10-15,US,216835
3640730,2020-10-16,US,217758
3640731,2020-10-17,US,218547
3640732,2020-10-18,US,219028
3640733,2020-10-19,US,219538
3640734,2020-10-20,US,220486
3640735,2020-10-21,US,221654
3640736,2020-10-22,US,222513
3640737,2020-10-23,US,223467
3640738,2020-10-24,US,224438
3640739,2020-10-25,US,224891
3640740,2020-10-26,US,225448
3640741,2020-10-27,US,226468
3640742,2020-10-28,US,227510
3640743,2020-10-29,US,228505
3640744,2020-10-30,US,229576
3640745,2020-10-31,US,230515
