,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.222010515,1.295087402,0.26252153,0.166853517,0.194820825,0.504581379,0.823501638,1.28245522,0.985247199,0.662838856,0.416369945,0.44125581,0.261450992,0.266390327,0.243167709,0.14252791
X2,1.246449787,5.366735488,0.905339986,0.112137925,0.123229482,0.212191676,0.580029045,1.092772154,1.548120956,0.409920775,0.189712213,0.134877643,0.196360844,0.200877249,0.115489043,0.05745459
X3,0.153469838,1.881980183,9.401120261,0.618516087,0.512049838,0.315657305,0.39115327,0.642603793,1.38769565,0.852993272,0.567035958,0.129236582,0.118115023,0.237832789,0.160103018,0.188805225
X4,0.090250718,0.340564681,3.380464456,10.9004534,1.032783215,0.535655945,0.282945597,0.372874636,0.782969585,1.220499622,0.728043967,0.159523525,0.095401038,0.021723701,0.061327805,0.053202595
X5,0.237749084,0.132797773,0.217529921,1.781492944,5.381242348,2.353403273,1.211847188,1.155321639,0.896148134,1.527873024,1.212373048,0.637687351,0.222868496,0.105997521,0.15904804,0.147549425
X6,0.120745231,0.135857247,0.129544866,0.71621132,3.1027865,5.102370238,2.850123232,1.626816548,1.632080366,1.316421124,1.235335573,0.701971107,0.427897976,0.090417161,0.089016774,0.040163396
X7,0.67615464,0.411971897,0.840768343,0.573314462,1.15870032,2.172975059,3.921614473,2.00026205,1.533998492,0.821994254,0.937049161,0.644127936,0.512065334,0.203693269,0.163659547,0.103060883
X8,0.869844926,0.990776445,0.52413804,0.524971639,0.820907501,1.6632247,2.606784249,4.924885434,3.341342787,1.731411306,1.055156175,0.61580131,0.561151884,0.558363976,0.246505528,0.122296155
X9,0.763016143,1.004804866,0.765792235,1.32579586,0.969277579,1.331028379,2.063308731,1.968275785,3.606436157,1.868723143,1.599908291,0.456346855,0.404045038,0.228821988,0.267854016,0.079150562
X10,0.48890734,0.869760178,0.433524771,1.835585015,0.680460123,0.752853376,1.503320195,1.629254842,1.809776332,2.231438721,1.304519167,0.562462677,0.241169889,0.169384247,0.126327235,0.189126797
X11,0.230921159,0.791635327,1.695219902,1.714655913,0.696295299,1.142380916,0.9605054,1.460888957,1.58000519,1.338242579,1.773510222,0.889370194,0.492366436,0.206634683,0.243927067,0.213656021
X12,0.431191101,1.134555773,2.070720392,0.166270657,0.524509791,1.075986992,1.014188116,0.973521277,1.173067199,1.045063441,1.239502578,1.977045305,0.8553001,0.351811537,0.344992666,0.194019617
X13,0.27603925,0.179126719,0.233667124,0.677725409,0.527215918,0.805687018,0.874925078,0.886527123,0.875638744,0.754751906,0.610814386,1.041193341,1.500354555,0.778154856,0.517464203,0.328112208
X14,0.144373802,0.167586054,0.035154161,0.028058108,0.253965633,0.534767205,1.183929044,0.996272914,0.765359876,0.637401873,0.701194064,0.629696832,0.911115227,2.090852179,0.380761385,0.262999968
X15,0.040937096,0.086256976,0.205129346,0.176132889,0.114162451,0.361341317,0.402481602,0.517038659,0.89563198,0.553522411,0.391994253,0.428296062,1.155727371,1.362415363,1.428119437,0.251081942
X16,0.107896604,0.129970365,3.11767E-06,0.374733201,0.081796075,0.00016567,0.000575112,0.248104866,0.589281757,1.034956327,0.504465767,1.175609818,0.151253053,1.642610807,0.555318431,0.000129022
