Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
10/11/2022 12:00:00 AM,<2 Years,2.091825698778462,0.052,0.017
10/11/2022 12:00:00 AM,12 - 17 Years,2.389292538531211,0.711,0.608
10/11/2022 12:00:00 AM,25 - 49 Years,4.375377337769257,0.84,0.71
10/10/2022 12:00:00 AM,<2 Years,2.888180893754513,0.052,0.017
10/10/2022 12:00:00 AM,2 - 4 Years,3.362707970076198,0.08,0.032
10/10/2022 12:00:00 AM,5 - 11 Years,2.306116101133878,0.386,0.316
10/10/2022 12:00:00 AM,12 - 17 Years,3.087692341261534,0.711,0.608
10/10/2022 12:00:00 AM,18 - 24 Years,4.940566605224505,0.805,0.655
10/10/2022 12:00:00 AM,25 - 49 Years,5.533740531131575,0.84,0.71
10/10/2022 12:00:00 AM,50 - 64 Years,4.938932321021492,0.946,0.827
10/10/2022 12:00:00 AM,65+ Years,6.052992966390462,0.95,0.928
10/09/2022 12:00:00 AM,<2 Years,3.783616050780462,0.052,0.017
10/09/2022 12:00:00 AM,2 - 4 Years,4.162083874214755,0.08,0.032
10/09/2022 12:00:00 AM,5 - 11 Years,2.830416016112921,0.386,0.316
10/09/2022 12:00:00 AM,12 - 17 Years,3.909439942348153,0.711,0.608
10/09/2022 12:00:00 AM,18 - 24 Years,6.14273490271622,0.805,0.655
10/09/2022 12:00:00 AM,25 - 49 Years,6.931527885734705,0.84,0.71
10/09/2022 12:00:00 AM,50 - 64 Years,6.508357241050064,0.946,0.827
10/09/2022 12:00:00 AM,65+ Years,8.092591294903956,0.95,0.928
10/08/2022 12:00:00 AM,<2 Years,4.52919276520594,0.052,0.017
10/08/2022 12:00:00 AM,2 - 4 Years,4.812242942914115,0.08,0.032
10/08/2022 12:00:00 AM,5 - 11 Years,3.266830408945094,0.386,0.316
10/08/2022 12:00:00 AM,12 - 17 Years,4.43366808536241,0.711,0.608
10/08/2022 12:00:00 AM,18 - 24 Years,6.960095888309289,0.805,0.655
10/08/2022 12:00:00 AM,25 - 49 Years,7.835519442596426,0.84,0.71
10/08/2022 12:00:00 AM,50 - 64 Years,7.455506201900521,0.946,0.827
10/08/2022 12:00:00 AM,65+ Years,9.377712656857975,0.95,0.928
10/07/2022 12:00:00 AM,<2 Years,5.141011530864058,0.052,0.017
10/07/2022 12:00:00 AM,2 - 4 Years,5.309632394378107,0.08,0.031
10/07/2022 12:00:00 AM,5 - 11 Years,3.538522223124848,0.386,0.316
10/07/2022 12:00:00 AM,12 - 17 Years,4.813419409005634,0.711,0.608
10/07/2022 12:00:00 AM,18 - 24 Years,7.52501571351676,0.805,0.655
10/07/2022 12:00:00 AM,25 - 49 Years,8.569136237205015,0.84,0.71
