,date,I,R,D,V,H,I_0-9,I_10-19,I_20-29,I_30-39,I_40-49,I_50-59,I_60-69,I_70-79,N_0-9,N_10-19,N_20-29,N_30-39,N_40-49,N_50-59,N_60-69,N_70-79,N_80-89,N_90-99,N_100+
0,2020-12-13,3003438,13294197,253207,30817,0,75981.0,176278.0,299356.0,271365.0,248207.0,238680.0,170763.0,94649.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
1,2020-12-14,3066564,13444501,254791,35355,0,76432.0,176644.0,297050.0,270940.0,248120.0,239206.0,171200.0,95561.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
2,2020-12-15,3074815,13635500,257164,81231,0,77189.0,177292.0,296908.0,271442.0,248301.0,239795.0,172448.0,96284.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
3,2020-12-16,3144789,13842160,259933,236049,0,76929.0,176959.0,293334.0,269014.0,247213.0,238855.0,171159.0,95813.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
4,2020-12-17,3178394,14056574,262637,502932,0,78317.0,179410.0,297305.0,272638.0,251538.0,243442.0,175533.0,97730.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
5,2020-12-18,3181218,14278694,265245,912912,0,78096.0,177906.0,293782.0,269830.0,249006.0,241560.0,174402.0,97223.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
6,2020-12-19,3145272,14481520,267567,1091771,0,77466.0,176511.0,292576.0,269141.0,248870.0,241112.0,174028.0,97072.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
7,2020-12-20,3137601,14655601,269145,1195803,0,75933.0,172044.0,284899.0,263215.0,243186.0,236324.0,171185.0,95595.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
8,2020-12-21,3133887,14836926,271146,1573659,0,75775.0,171384.0,284188.0,263806.0,243602.0,236875.0,172300.0,96355.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
9,2020-12-22,3119998,15062544,273670,2014259,0,88483.0,212017.0,359382.0,332650.0,311650.0,309842.0,229496.0,129174.0,40795692,41765338,45180252,45598625,40561654,42008241,39723180,25830576,10732464,2704216,98160
