timepoints,I,D
0,3846.0,230
1,3746.0,230
2,4317.0,257
3,3964.0,257
4,4013.0,257
5,3828.0,257
6,3680.0,280
7,3670.0,280
8,3378.0,299
9,3145.0,299
10,3048.0,321
11,2966.0,321
12,3043.0,321
13,2790.0,321
14,2589.0,328
15,2425.0,328
16,2370.0,351
17,2574.0,351
18,2581.0,351
19,2302.0,351
20,2343.0,351
21,2315.0,373
22,2354.0,373
23,2071.0,373
24,1305.0,373
25,1658.0,373
26,1538.0,373
27,1586.0,405
28,1544.0,405
29,1469.0,405
30,1745.0,438
31,1745.0,438
32,1427.0,438
33,1675.0,438
34,1553.0,438
35,1646.0,464
36,1757.0,464
37,1759.0,489
38,2238.0,489
39,2146.0,489
40,1957.0,489
41,2138.0,489
42,2503.0,522
43,2399.0,522
44,2533.0,522
45,2262.0,522
46,2349.0,522
47,2531.0,522
48,2313.0,522
49,1850.0,550
50,1835.0,550
51,1723.0,550
52,1674.0,571
53,1515.0,571
54,1535.0,571
55,1354.0,571
56,1230.0,596
57,1244.0,596
58,1006.0,596
59,1107.0,596
60,1121.0,596
61,1014.0,596
62,995.0,596
63,976.0,624
64,920.0,624
65,1038.0,624
66,886.0,624
67,914.0,624
68,715.0,624
69,727.0,624
70,702.0,647
71,586.0,647
72,511.0,647
73,510.0,647
74,468.0,647
75,509.0,647
76,352.0,647
77,521.0,662
78,576.0,662
79,552.0,662
80,597.0,662
81,597.0,662
82,659.0,662
83,764.0,662
84,593.0,671
85,538.0,671
86,671.0,671
87,667.0,671
88,667.0,671
89,599.0,671
