timepoint_id,number_days,inc_cum,output,type,quantile,value,Forecast_Backcast
0,0.0,inc,I,quantile,0.01,1.0,Backcast
0,0.0,inc,I,quantile,0.025,1.0,Backcast
0,0.0,inc,I,quantile,0.05,1.0,Backcast
0,0.0,inc,I,quantile,0.1,1.0,Backcast
0,0.0,inc,I,quantile,0.15,1.0,Backcast
0,0.0,inc,I,quantile,0.2,1.0,Backcast
0,0.0,inc,I,quantile,0.25,1.0,Backcast
0,0.0,inc,I,quantile,0.3,1.0,Backcast
0,0.0,inc,I,quantile,0.35,1.0,Backcast
0,0.0,inc,I,quantile,0.4,1.0,Backcast
0,0.0,inc,I,quantile,0.45,1.0,Backcast
0,0.0,inc,I,quantile,0.5,1.0,Backcast
0,0.0,inc,I,quantile,0.55,1.0,Backcast
0,0.0,inc,I,quantile,0.6,1.0,Backcast
0,0.0,inc,I,quantile,0.65,1.0,Backcast
0,0.0,inc,I,quantile,0.7,1.0,Backcast
0,0.0,inc,I,quantile,0.75,1.0,Backcast
0,0.0,inc,I,quantile,0.8,1.0,Backcast
0,0.0,inc,I,quantile,0.85,1.0,Backcast
0,0.0,inc,I,quantile,0.9,1.0,Backcast
0,0.0,inc,I,quantile,0.95,1.0,Backcast
0,0.0,inc,I,quantile,0.975,1.0,Backcast
0,0.0,inc,I,quantile,0.99,1.0,Backcast
1,1.0,inc,I,quantile,0.01,883.5880963134765,Backcast
1,1.0,inc,I,quantile,0.025,883.8484146118165,Backcast
1,1.0,inc,I,quantile,0.05,884.2822784423828,Backcast
1,1.0,inc,I,quantile,0.1,885.1500061035156,Backcast
1,1.0,inc,I,quantile,0.15,885.7714904785156,Backcast
1,1.0,inc,I,quantile,0.2,886.3226196289063,Backcast
1,1.0,inc,I,quantile,0.25,888.2850799560547,Backcast
1,1.0,inc,I,quantile,0.3,891.3766052246094,Backcast
1,1.0,inc,I,quantile,0.35,893.5766998291016,Backcast
1,1.0,inc,I,quantile,0.4,893.9939331054687,Backcast
1,1.0,inc,I,quantile,0.45,894.5267669677735,Backcast
