timepoint_id,number_days,inc_cum,output,type,quantile,value,Forecast_Backcast
0,0.5,inc,I,quantile,0.01,967.147509765625,Forecast
0,0.5,inc,I,quantile,0.025,967.1798095703125,Forecast
0,0.5,inc,I,quantile,0.05,967.233642578125,Forecast
0,0.5,inc,I,quantile,0.1,967.34130859375,Forecast
0,0.5,inc,I,quantile,0.15,967.448974609375,Forecast
0,0.5,inc,I,quantile,0.2,967.556640625,Forecast
0,0.5,inc,I,quantile,0.25,967.664306640625,Forecast
0,0.5,inc,I,quantile,0.3,967.77197265625,Forecast
0,0.5,inc,I,quantile,0.35,967.879638671875,Forecast
0,0.5,inc,I,quantile,0.4,967.9873046875,Forecast
0,0.5,inc,I,quantile,0.45,968.094970703125,Forecast
0,0.5,inc,I,quantile,0.5,968.20263671875,Forecast
0,0.5,inc,I,quantile,0.55,968.8126525878906,Forecast
0,0.5,inc,I,quantile,0.6,969.4226684570312,Forecast
0,0.5,inc,I,quantile,0.65,970.0326843261719,Forecast
0,0.5,inc,I,quantile,0.7,970.6427001953125,Forecast
0,0.5,inc,I,quantile,0.75,971.2527160644531,Forecast
0,0.5,inc,I,quantile,0.8,971.8627319335938,Forecast
0,0.5,inc,I,quantile,0.85,972.4727478027344,Forecast
0,0.5,inc,I,quantile,0.9,973.082763671875,Forecast
0,0.5,inc,I,quantile,0.95,973.6927795410156,Forecast
0,0.5,inc,I,quantile,0.975,973.9977874755859,Forecast
0,0.5,inc,I,quantile,0.99,974.1807922363281,Forecast
1,1.0,inc,I,quantile,0.01,905.6597888183594,Forecast
1,1.0,inc,I,quantile,0.025,905.7571075439453,Forecast
1,1.0,inc,I,quantile,0.05,905.9193054199219,Forecast
1,1.0,inc,I,quantile,0.1,906.243701171875,Forecast
1,1.0,inc,I,quantile,0.15,906.5680969238281,Forecast
1,1.0,inc,I,quantile,0.2,906.8924926757812,Forecast
1,1.0,inc,I,quantile,0.25,907.2168884277344,Forecast
1,1.0,inc,I,quantile,0.3,907.5412841796875,Forecast
1,1.0,inc,I,quantile,0.35,907.8656799316407,Forecast
1,1.0,inc,I,quantile,0.4,908.1900756835937,Forecast
1,1.0,inc,I,quantile,0.45,908.5144714355469,Forecast
1,1.0,inc,I,quantile,0.5,908.8388671875,Forecast
1,1.0,inc,I,quantile,0.55,910.5658935546875,Forecast
1,1.0,inc,I,quantile,0.6,912.292919921875,Forecast
1,1.0,inc,I,quantile,0.65,914.0199462890625,Forecast
1,1.0,inc,I,quantile,0.7,915.74697265625,Forecast
1,1.0,inc,I,quantile,0.75,917.4739990234375,Forecast
1,1.0,inc,I,quantile,0.8,919.201025390625,Forecast
1,1.0,inc,I,quantile,0.85,920.9280517578125,Forecast
1,1.0,inc,I,quantile,0.9,922.655078125,Forecast
1,1.0,inc,I,quantile,0.95,924.3821044921875,Forecast
1,1.0,inc,I,quantile,0.975,925.2456176757812,Forecast
1,1.0,inc,I,quantile,0.99,925.7637255859376,Forecast
2,2.0,inc,I,quantile,0.01,792.0822668457031,Forecast
2,2.0,inc,I,quantile,0.025,792.2955718994141,Forecast
2,2.0,inc,I,quantile,0.05,792.6510803222657,Forecast
