type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.01,3.8252136158943175,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.025,3.829566580057144,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.05,3.8368215203285216,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.1,3.8513314008712767,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.15,3.865841281414032,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.2,3.880351161956787,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.25,3.8948610424995422,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.3,3.909370923042297,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.35,3.923880803585052,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.4,3.938390684127808,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.45,3.952900564670563,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.5,3.967410445213318,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.55,3.981920325756073,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.6,3.996430206298828,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.65,4.010940086841583,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.7,4.025449967384338,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.75,4.0399598479270935,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.8,4.054469728469849,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.85,4.068979609012604,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.9,4.083489489555359,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.95,4.097999370098114,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.975,4.105254310369491,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.99,4.109607274532318,1.0 days ahead inc case,2023-08-03,2023-08-04,US
quantile,0.01,5.471490774154663,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.025,5.478093886375428,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.05,5.489099073410034,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.1,5.511109447479248,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.15,5.533119821548462,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.2,5.555130195617676,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.25,5.57714056968689,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.3,5.599150943756103,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.35,5.621161317825317,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.4,5.643171691894532,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.45,5.665182065963745,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.5,5.687192440032959,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.55,5.709202814102173,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.6,5.731213188171386,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.65,5.753223562240601,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.7,5.775233936309815,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.75,5.797244310379028,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.8,5.819254684448242,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.85,5.841265058517456,2.0 days ahead inc case,2023-08-03,2023-08-05,US
quantile,0.9,5.86327543258667,2.0 days ahead inc case,2023-08-03,2023-08-05,US
