timepoint_id,number_days,inc_cum,output,type,quantile,value,Forecast_Backcast
0,0.0,inc,Infected,quantile,0.01,1.0,Forecast
0,0.0,inc,Infected,quantile,0.025,1.0,Forecast
0,0.0,inc,Infected,quantile,0.05,1.0,Forecast
0,0.0,inc,Infected,quantile,0.1,1.0,Forecast
0,0.0,inc,Infected,quantile,0.15,1.0,Forecast
0,0.0,inc,Infected,quantile,0.2,1.0,Forecast
0,0.0,inc,Infected,quantile,0.25,1.0,Forecast
0,0.0,inc,Infected,quantile,0.3,1.0,Forecast
0,0.0,inc,Infected,quantile,0.35,1.0,Forecast
0,0.0,inc,Infected,quantile,0.4,1.0,Forecast
0,0.0,inc,Infected,quantile,0.45,1.0,Forecast
0,0.0,inc,Infected,quantile,0.5,1.0,Forecast
0,0.0,inc,Infected,quantile,0.55,1.0,Forecast
0,0.0,inc,Infected,quantile,0.6,1.0,Forecast
0,0.0,inc,Infected,quantile,0.65,1.0,Forecast
0,0.0,inc,Infected,quantile,0.7,1.0,Forecast
0,0.0,inc,Infected,quantile,0.75,1.0,Forecast
0,0.0,inc,Infected,quantile,0.8,1.0,Forecast
0,0.0,inc,Infected,quantile,0.85,1.0,Forecast
0,0.0,inc,Infected,quantile,0.9,1.0,Forecast
0,0.0,inc,Infected,quantile,0.95,1.0,Forecast
0,0.0,inc,Infected,quantile,0.975,1.0,Forecast
0,0.0,inc,Infected,quantile,0.99,1.0,Forecast
1,1.0,inc,Infected,quantile,0.01,0.892741693854332,Forecast
1,1.0,inc,Infected,quantile,0.025,0.9056929677724839,Forecast
1,1.0,inc,Infected,quantile,0.05,0.9236285120248795,Forecast
1,1.0,inc,Infected,quantile,0.1,0.9352938711643219,Forecast
1,1.0,inc,Infected,quantile,0.15,0.9499167025089263,Forecast
1,1.0,inc,Infected,quantile,0.2,0.9979809880256653,Forecast
1,1.0,inc,Infected,quantile,0.25,1.058262288570404,Forecast
1,1.0,inc,Infected,quantile,0.3,1.077049934864044,Forecast
1,1.0,inc,Infected,quantile,0.35,1.1110496759414672,Forecast
1,1.0,inc,Infected,quantile,0.4,1.1478410720825196,Forecast
1,1.0,inc,Infected,quantile,0.45,1.1894389152526856,Forecast
1,1.0,inc,Infected,quantile,0.5,1.2180010676383972,Forecast
1,1.0,inc,Infected,quantile,0.55,1.2711541891098024,Forecast
1,1.0,inc,Infected,quantile,0.6,1.305364227294922,Forecast
1,1.0,inc,Infected,quantile,0.65,1.3447719156742097,Forecast
1,1.0,inc,Infected,quantile,0.7,1.368165338039398,Forecast
1,1.0,inc,Infected,quantile,0.75,1.3996641933918,Forecast
1,1.0,inc,Infected,quantile,0.8,1.4236631393432617,Forecast
1,1.0,inc,Infected,quantile,0.85,1.4367494404315948,Forecast
1,1.0,inc,Infected,quantile,0.9,1.480485475063324,Forecast
1,1.0,inc,Infected,quantile,0.95,1.5025184988975524,Forecast
1,1.0,inc,Infected,quantile,0.975,1.555523121356964,Forecast
1,1.0,inc,Infected,quantile,0.99,1.5617120575904848,Forecast
2,2.0,inc,Infected,quantile,0.01,0.9121860456466675,Forecast
2,2.0,inc,Infected,quantile,0.025,0.9465665683150292,Forecast
2,2.0,inc,Infected,quantile,0.05,1.0070440173149109,Forecast
2,2.0,inc,Infected,quantile,0.1,1.0355745553970337,Forecast
2,2.0,inc,Infected,quantile,0.15,1.0601339280605315,Forecast
2,2.0,inc,Infected,quantile,0.2,1.147446346282959,Forecast
2,2.0,inc,Infected,quantile,0.25,1.3006669282913208,Forecast
2,2.0,inc,Infected,quantile,0.3,1.3520620584487915,Forecast
2,2.0,inc,Infected,quantile,0.35,1.4033833861351013,Forecast
2,2.0,inc,Infected,quantile,0.4,1.4544336318969726,Forecast
2,2.0,inc,Infected,quantile,0.45,1.5631388783454896,Forecast
2,2.0,inc,Infected,quantile,0.5,1.6274623274803162,Forecast
2,2.0,inc,Infected,quantile,0.55,1.7572329699993134,Forecast
2,2.0,inc,Infected,quantile,0.6,1.8190991401672363,Forecast
2,2.0,inc,Infected,quantile,0.65,1.8734189689159393,Forecast
2,2.0,inc,Infected,quantile,0.7,1.9539205312728882,Forecast
2,2.0,inc,Infected,quantile,0.75,2.018508195877075,Forecast
2,2.0,inc,Infected,quantile,0.8,2.072831726074219,Forecast
2,2.0,inc,Infected,quantile,0.85,2.136819553375244,Forecast
2,2.0,inc,Infected,quantile,0.9,2.2245256662368775,Forecast
2,2.0,inc,Infected,quantile,0.95,2.300932252407074,Forecast
2,2.0,inc,Infected,quantile,0.975,2.4227332353591917,Forecast
2,2.0,inc,Infected,quantile,0.99,2.448184604644776,Forecast
3,3.0,inc,Infected,quantile,0.01,1.015949753522873,Forecast
3,3.0,inc,Infected,quantile,0.025,1.078177285194397,Forecast
3,3.0,inc,Infected,quantile,0.05,1.1944292664527894,Forecast
3,3.0,inc,Infected,quantile,0.1,1.2407817482948302,Forecast
3,3.0,inc,Infected,quantile,0.15,1.2980913817882538,Forecast
3,3.0,inc,Infected,quantile,0.2,1.411948323249817,Forecast
3,3.0,inc,Infected,quantile,0.25,1.7056959867477417,Forecast
3,3.0,inc,Infected,quantile,0.3,1.8149986505508422,Forecast
3,3.0,inc,Infected,quantile,0.35,1.91714329123497,Forecast
3,3.0,inc,Infected,quantile,0.4,1.954821252822876,Forecast
3,3.0,inc,Infected,quantile,0.45,2.1509111285209657,Forecast
3,3.0,inc,Infected,quantile,0.5,2.3157986402511597,Forecast
3,3.0,inc,Infected,quantile,0.55,2.4705604553222655,Forecast
3,3.0,inc,Infected,quantile,0.6,2.5759677410125734,Forecast
3,3.0,inc,Infected,quantile,0.65,2.7265720486640936,Forecast
3,3.0,inc,Infected,quantile,0.7,2.813686680793762,Forecast
3,3.0,inc,Infected,quantile,0.75,2.9230266213417053,Forecast
3,3.0,inc,Infected,quantile,0.8,3.0209208965301517,Forecast
3,3.0,inc,Infected,quantile,0.85,3.235249137878418,Forecast
3,3.0,inc,Infected,quantile,0.9,3.379199719429016,Forecast
3,3.0,inc,Infected,quantile,0.95,3.5508216619491577,Forecast
3,3.0,inc,Infected,quantile,0.975,3.773811125755309,Forecast
3,3.0,inc,Infected,quantile,0.99,3.8466262888908402,Forecast
4,4.0,inc,Infected,quantile,0.01,1.1850533449649812,Forecast
4,4.0,inc,Infected,quantile,0.025,1.2835324168205262,Forecast
4,4.0,inc,Infected,quantile,0.05,1.4715018332004548,Forecast
4,4.0,inc,Infected,quantile,0.1,1.5547064542770386,Forecast
4,4.0,inc,Infected,quantile,0.15,1.6702926874160766,Forecast
4,4.0,inc,Infected,quantile,0.2,1.8232925891876222,Forecast
4,4.0,inc,Infected,quantile,0.25,2.308096766471863,Forecast
4,4.0,inc,Infected,quantile,0.3,2.479606604576111,Forecast
4,4.0,inc,Infected,quantile,0.35,2.653881239891052,Forecast
4,4.0,inc,Infected,quantile,0.4,2.7514797687530517,Forecast
4,4.0,inc,Infected,quantile,0.45,2.9943908214569097,Forecast
4,4.0,inc,Infected,quantile,0.5,3.3210562467575073,Forecast
4,4.0,inc,Infected,quantile,0.55,3.5041158437728885,Forecast
4,4.0,inc,Infected,quantile,0.6,3.6930614948272704,Forecast
4,4.0,inc,Infected,quantile,0.65,3.914563894271851,Forecast
4,4.0,inc,Infected,quantile,0.7,4.1798357486724855,Forecast
4,4.0,inc,Infected,quantile,0.75,4.2432392835617065,Forecast
4,4.0,inc,Infected,quantile,0.8,4.441497325897218,Forecast
4,4.0,inc,Infected,quantile,0.85,4.875816059112548,Forecast
4,4.0,inc,Infected,quantile,0.9,5.122412109375,Forecast
4,4.0,inc,Infected,quantile,0.95,5.498428010940552,Forecast
4,4.0,inc,Infected,quantile,0.975,5.879256665706633,Forecast
4,4.0,inc,Infected,quantile,0.99,6.048810286521915,Forecast
0,0.0,inc,Hospitalizations,quantile,0.01,1.0622569902689338e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.025,1.0977542253031228e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.05,1.2474243697453009e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.1,1.348514995416078e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.15,1.4034184513296577e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.2,1.469201973622325e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.25,1.5341275342098393e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.3,1.57353503057317e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.35,1.6270026829707378e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.4,1.695835312454097e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.45,1.755188968341828e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.5,1.8093080744567558e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.55,1.8439500794331655e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.6,1.870672323642242e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.65,1.9011296985456394e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.7,1.929812234492678e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.75,1.93977510920193e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.8,1.9523795340842255e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.85,1.97530605153956e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.9,1.9870922182002594e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.95,1.9968754189254865e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.975,1.9992446337758347e-12,Forecast
0,0.0,inc,Hospitalizations,quantile,0.99,1.9996964847890376e-12,Forecast
1,1.0,inc,Hospitalizations,quantile,0.01,0.012488437686115503,Forecast
1,1.0,inc,Hospitalizations,quantile,0.025,0.012677049729973078,Forecast
1,1.0,inc,Hospitalizations,quantile,0.05,0.013786360993981362,Forecast
1,1.0,inc,Hospitalizations,quantile,0.1,0.014409962762147187,Forecast
1,1.0,inc,Hospitalizations,quantile,0.15,0.014935587486252188,Forecast
1,1.0,inc,Hospitalizations,quantile,0.2,0.015304661169648171,Forecast
1,1.0,inc,Hospitalizations,quantile,0.25,0.0157890603877604,Forecast
1,1.0,inc,Hospitalizations,quantile,0.3,0.016414939239621163,Forecast
1,1.0,inc,Hospitalizations,quantile,0.35,0.01666622357442975,Forecast
1,1.0,inc,Hospitalizations,quantile,0.4,0.01693391501903534,Forecast
1,1.0,inc,Hospitalizations,quantile,0.45,0.01715153278782964,Forecast
1,1.0,inc,Hospitalizations,quantile,0.5,0.01726483181118965,Forecast
1,1.0,inc,Hospitalizations,quantile,0.55,0.017375895380973817,Forecast
1,1.0,inc,Hospitalizations,quantile,0.6,0.017453182116150857,Forecast
1,1.0,inc,Hospitalizations,quantile,0.65,0.017574028205126525,Forecast
1,1.0,inc,Hospitalizations,quantile,0.7,0.01771171297878027,Forecast
1,1.0,inc,Hospitalizations,quantile,0.75,0.017920371145009995,Forecast
1,1.0,inc,Hospitalizations,quantile,0.8,0.018292567133903505,Forecast
1,1.0,inc,Hospitalizations,quantile,0.85,0.018913468439131973,Forecast
1,1.0,inc,Hospitalizations,quantile,0.9,0.019651482440531255,Forecast
1,1.0,inc,Hospitalizations,quantile,0.95,0.020346665196120738,Forecast
1,1.0,inc,Hospitalizations,quantile,0.975,0.021212226478382945,Forecast
1,1.0,inc,Hospitalizations,quantile,0.99,0.02134633641690016,Forecast
2,2.0,inc,Hospitalizations,quantile,0.01,0.0298310874029994,Forecast
2,2.0,inc,Hospitalizations,quantile,0.025,0.029927396588027476,Forecast
2,2.0,inc,Hospitalizations,quantile,0.05,0.03025946393609047,Forecast
2,2.0,inc,Hospitalizations,quantile,0.1,0.03063726667314768,Forecast
2,2.0,inc,Hospitalizations,quantile,0.15,0.031106467358767986,Forecast
2,2.0,inc,Hospitalizations,quantile,0.2,0.03146439045667648,Forecast
2,2.0,inc,Hospitalizations,quantile,0.25,0.03173938486725092,Forecast
2,2.0,inc,Hospitalizations,quantile,0.3,0.031999727711081505,Forecast
2,2.0,inc,Hospitalizations,quantile,0.35,0.03207847811281681,Forecast
2,2.0,inc,Hospitalizations,quantile,0.4,0.03262171596288681,Forecast
2,2.0,inc,Hospitalizations,quantile,0.45,0.033639826066792014,Forecast
2,2.0,inc,Hospitalizations,quantile,0.5,0.03419281356036663,Forecast
2,2.0,inc,Hospitalizations,quantile,0.55,0.03486823067069054,Forecast
