Timestep,V
1,47912.06998
4,47423.41154
6,61351.45311
8,57833.41567
11,54191.12508
13,81683.01871
15,97384.89983
17,184608.4693
18,175012.7593
19,143315.4012
20,170222.6136
21,162170.0962
22,105349.988
23,118741.7144
24,143560.9488
25,113447.7183
26,142036.4064
27,164452.9249
28,89688.79762
29,159982.7676
30,103984.588
31,134333.1359
32,173795.2399
33,272971.7601
34,170633.0285
35,296802.9021
36,195733.6865
37,218103.0529
38,281680.7152
39,235395.2816
40,299788.5221
41,306176.8519
42,312111.6299
43,264462.0973
44,317556.9975
45,314551.8177
46,289466.9903
47,397524.9174
48,347208.0108
49,285282.7691
50,321662.0402
51,312337.7089
52,401228.1052
53,382854.8002
54,494625.5753
55,451981.0757
56,721913.0216
57,534665.0831
58,609197.7688
59,550116.1808
60,683351.9399
61,669206.021
62,619198.0476
63,812470.7499
64,1399805.609
65,765503.7684
66,983956.0143
67,1116962.995
68,733336.9609
69,666383.1576
70,833829.426
71,966370.2895
72,852360.1984
73,1129464.996
74,1167661.427
75,457710.412
76,851801.3197
77,1067792.411
78,877230.4969
79,886687.9004
80,874487.1149
81,801700.8688
82,945209.1475
83,895301.968
84,869241.0749
85,834063.6977
86,530487.4384
87,737084.846
88,1084288.438
89,842621.4833
90,1135274.268
91,768544.6527
92,566181.0083
93,552977.1228
94,703327.2462
95,792993.285
96,906242.1567
97,1124253.83
98,1000488.078
99,1449400.205
100,1514964.772
101,1362071.453
102,1439139.924
103,863664.9785
104,994314.2931
105,897755.8107
106,889785.6202
107,772179.6408
108,722257.9906
109,815395.8934
110,1046380.038
111,489645.329
112,515918.1099
113,644836.4283
114,920362.0201
115,2038591.913
116,1117430.427
