Timestep,D
0,370.0
1,668.0
2,978.0
3,1133.0
4,1332.0
5,1580.0
6,1792.0
7,2132.0
8,2421.0
9,2656.0
10,3022.0
11,3339.0
12,3546.0
13,3822.0
14,4153.0
15,4395.0
16,4712.0
17,5119.0
18,5483.0
19,5778.0
20,6161.0
21,6623.0
22,7062.0
23,7573.0
24,8030.0
25,8477.0
26,8908.0
27,9444.0
28,10061.0
29,10614.0
30,11116.0
31,11426.0
32,11825.0
33,12432.0
34,13109.0
35,13957.0
36,14857.0
37,15666.0
38,16134.0
39,16944.0
40,17891.0
41,18908.0
42,20039.0
43,21096.0
44,22055.0
45,22881.0
46,23762.0
47,24799.0
48,25819.0
49,26734.0
50,27949.0
51,29015.0
52,29782.0
53,30634.0
54,31831.0
56,33761.0
57,34927.0
58,36070.0
59,36524.0
60,37635.0
61,39402.0
62,41828.0
63,44163.0
64,46387.0
65,48386.0
66,49419.0
67,50960.0
68,53045.0
69,55147.0
70,57327.0
71,59354.0
72,61511.0
73,63147.0
74,64758.0
75,66904.0
76,68964.0
77,71450.0
78,73088.0
79,74741.0
80,76299.0
81,77828.0
82,79601.0
83,81782.0
85,84947.0
86,86250.0
87,87903.0
88,89529.0
89,91962.0
90,94682.0
92,98064.0
93,99349.0
94,101054.0
95,102780.0
96,105387.0
97,108282.0
98,111371.0
99,114176.0
100,116273.0
101,118062.0
102,120173.0
103,122191.0
104,124425.0
105,126497.0
106,128772.0
107,130524.0
108,131883.0
109,132882.0
110,134442.0
111,136330.0
112,138392.0
113,140192.0
114,141854.0
115,143382.0
