Date,Total_cases,New_cases,seven_day_average_new_cases,seven_day_average_new_cases_log,Time,cumulativecases
10/2/20,63155.0,370.0,270.7142857,2.434112473,0,370.0
10/3/20,63453.0,298.0,268.0,2.42975228,1,668.0
10/4/20,63763.0,310.0,274.8571429,2.440684234,2,978.0
10/5/20,63918.0,155.0,256.0,2.409933123,3,1133.0
10/6/20,64117.0,199.0,251.7142857,2.402629793,4,1332.0
10/7/20,64365.0,248.0,250.4285714,2.400414628,5,1580.0
10/8/20,64577.0,212.0,239.7142857,2.381501865,6,1792.0
10/9/20,64917.0,340.0,269.8571429,2.432740293,7,2132.0
10/10/20,65206.0,289.0,286.7142857,2.458961426,8,2421.0
10/11/20,65441.0,235.0,280.8571429,2.450029045,9,2656.0
10/12/20,65807.0,366.0,290.0,2.463892989,10,3022.0
10/13/20,66124.0,317.0,288.7142857,2.461969911,11,3339.0
10/14/20,66331.0,207.0,282.0,2.451786436,12,3546.0
10/15/20,66607.0,276.0,293.7142857,2.469401188,13,3822.0
10/16/20,66938.0,331.0,299.5714286,2.477947695,14,4153.0
10/17/20,67180.0,242.0,306.2857143,2.48754237,15,4395.0
10/18/20,67497.0,317.0,318.8571429,2.504956054,16,4712.0
10/19/20,67904.0,407.0,334.1428571,2.525229968,17,5119.0
10/20/20,68268.0,364.0,352.8571429,2.548827967,18,5483.0
10/21/20,68563.0,295.0,381.0,2.582063363,19,5778.0
10/22/20,68946.0,383.0,408.7142857,2.612481107,20,6161.0
10/23/20,69408.0,462.0,415.8571429,2.619987248,21,6623.0
10/24/20,69847.0,439.0,427.7142857,2.632167955,22,7062.0
10/25/20,70358.0,511.0,447.1428571,2.651416479,23,7573.0
10/26/20,70815.0,457.0,469.0,2.672097858,24,8030.0
10/27/20,71262.0,447.0,491.1428571,2.692091186,25,8477.0
10/28/20,71693.0,431.0,507.4285714,2.706229948,26,8908.0
10/29/20,72229.0,536.0,506.1428571,2.705130313,27,9444.0
10/30/20,72846.0,617.0,485.1428571,2.686763909,28,10061.0
10/31/20,73399.0,553.0,478.2857143,2.680594484,29,10614.0
11/1/20,73901.0,502.0,503.4285714,2.702799678,30,11116.0
11/2/20,74211.0,310.0,523.5714286,2.719804633,31,11426.0
11/3/20,74610.0,399.0,556.5714286,2.746300511,32,11825.0
11/4/20,75217.0,607.0,606.1428571,2.78329089,33,12432.0
11/5/20,75894.0,677.0,650.0,2.813580989,34,13109.0
11/6/20,76742.0,848.0,672.5714286,2.828383657,35,13957.0
11/7/20,77642.0,900.0,731.2857143,2.864680562,36,14857.0
11/8/20,78451.0,809.0,779.8571429,2.892571587,37,15666.0
