Sample Date,"North System Flows to DITP, MGD","South System Flows to DITP, MGD",Total flows to DITP (MGD: Million gallon per day)
10/2/20,134,64.2,198.2
10/3/20,130.5,61.7,192.2
10/4/20,126.4,59.2,185.6
10/5/20,127.4,60,187.5
10/6/20,130.1,60.7,190.9
10/7/20,132,63.3,195.4
10/8/20,135.5,64.3,199.8
10/9/20,129,61.5,190.5
10/10/20,125.3,61.5,186.8
10/11/20,122.5,57.5,180
10/12/20,120.7,57,177.7
10/13/20,132.6,61.6,194.1
10/14/20,326.6,85.5,412.1
10/15/20,153.1,71,224
10/16/20,144.5,68,212.5
10/17/20,323.4,82.1,405.5
10/18/20,245.8,111.3,357.1
10/19/20,166.3,82.3,248.6
10/20/20,160.8,82,242.8
10/21/20,153.5,77.1,230.6
10/22/20,154,76.8,230.8
10/23/20,148.5,75.9,224.3
10/24/20,147.6,73.6,221.2
10/25/20,146.9,71.5,218.4
10/26/20,147.1,72.1,219.2
10/27/20,146.3,71.8,218.1
10/28/20,150.2,70.7,220.9
10/29/20,173.3,75.3,248.6
10/30/20,314.3,90.8,405.1
10/31/20,210.3,100.7,311
11/1/20,180.9,90.2,271.1
11/2/20,311,106.8,417.8
11/3/20,196,108.4,304.4
11/4/20,175.9,96,271.9
11/5/20,171.3,92.1,263.4
11/6/20,166.3,89,255.3
11/7/20,162.7,86.6,249.3
11/8/20,158.4,83.3,241.7
11/9/20,157.3,83.2,240.5
11/10/20,161.9,82.4,244.3
11/11/20,159.9,81,240.9
11/12/20,159.5,83.6,243.1
11/13/20,156.1,80.8,236.9
11/14/20,180.7,83.8,264.5
11/15/20,155.9,81,236.9
11/16/20,229.5,84.6,314.1
11/17/20,168.8,91.4,260.2
11/18/20,162.9,87.1,250
11/19/20,156.1,86.6,242.7
11/20/20,153.6,81.5,235.1
11/21/20,148.6,80.1,228.7
11/22/20,149.7,78.7,228.4
11/23/20,182.8,79.1,261.9
11/24/20,426.7,135.9,562.6
11/25/20,193.2,112.7,305.9
11/26/20,178.9,106.9,285.8
11/27/20,212,111.2,323.2
11/28/20,170.3,101.8,272.1
11/29/20,170.9,100,270.9
11/30/20,170,99.5,269.5
12/1/20,480.6,151.1,631.7
12/2/20,301.4,206.6,508
12/3/20,236.9,160.3,397.2
12/4/20,222.8,145,367.8
12/5/20,231.3,132.8,364.1
12/6/20,600.6,242.6,843.2
12/7/20,346.1,242.2,588.3
12/8/20,298.9,201.9,500.8
12/9/20,263,177.5,440.5
12/10/20,248.2,160.8,409
12/11/20,233.9,148.9,382.8
12/12/20,210.2,140.6,350.8
12/13/20,272.3,142.8,415.1
12/14/20,223.2,140.1,363.3
12/15/20,136.8,223.9,360.7
12/16/20,207.9,128.5,336.4
12/17/20,181.5,125.5,307
12/18/20,204.3,124.6,328.9
12/19/20,198.6,120.8,319.4
12/20/20,193.9,116,309.9
12/21/20,191.6,114.8,306.4
12/22/20,191.6,117.4,309
12/23/20,197.3,115.6,312.9
12/24/20,185,113.6,298.6
12/25/20,314,135.4,449.4
12/26/20,617,314,931
12/27/20,365.8,284.4,650.2
12/28/20,297.8,225.3,523.1
12/29/20,283.8,202.9,486.7
12/30/20,255.6,182.5,438.1
12/31/20,244.3,169.4,413.7
1/1/21,237.9,162.7,400.6
1/2/21,262.2,149.1,411.3
1/3/21,272.2,158.4,430.6
1/4/21,241.1,151.1,392.2
1/5/21,232.1,146.4,378.5
1/6/21,225.3,141.3,366.6
1/7/21,213.4,138.2,351.6
1/8/21,208.7,132,340.7
1/9/21,204.6,127.8,332.4
1/10/21,200.7,120.3,321
1/11/21,198.2,118.2,316.4
1/12/21,208.9,125.5,334.4
1/13/21,193.7,113,306.7
1/14/21,189.4,112.9,302.3
1/15/21,192.1,112.5,304.6
1/16/21,206.3,110.1,316.4
1/17/21,420.7,164,584.7
1/18/21,227.3,147.2,374.5
1/19/21,222.8,139.9,362.7
1/20/21,207.2,132.2,339.4
1/21/21,200.3,129.2,329.5
1/22/21,193.9,124.3,318.2
1/23/21,186.9,119.9,306.8
1/24/21,185.1,115,300.1
1/25/21,180.4,113.6,294
