Timestep,incident cases
1,298.0
2,310.0
3,155.0
4,199.0
5,248.0
6,212.0
7,340.0
8,289.0
9,235.0
10,366.0
11,317.0
12,207.0
13,276.0
14,331.0
15,242.0
16,317.0
17,407.0
18,364.0
19,295.0
20,383.0
21,462.0
22,439.0
23,511.0
24,457.0
25,447.0
26,431.0
27,536.0
28,617.0
29,553.0
30,502.0
31,310.0
32,399.0
33,607.0
34,677.0
35,848.0
36,900.0
37,809.0
38,468.0
39,810.0
40,947.0
41,1017.0
42,1131.0
43,1057.0
44,959.0
45,826.0
46,881.0
47,1037.0
48,1020.0
49,915.0
50,1215.0
51,1066.0
52,767.0
53,852.0
54,1197.0
56,1930.0
57,1166.0
58,1143.0
59,454.0
60,1111.0
61,1767.0
62,2426.0
63,2335.0
64,2224.0
65,1999.0
66,1033.0
67,1541.0
68,2085.0
69,2102.0
70,2180.0
71,2027.0
72,2157.0
73,1636.0
74,1611.0
75,2146.0
76,2060.0
77,2486.0
78,1638.0
79,1653.0
80,1558.0
81,1529.0
82,1773.0
83,2181.0
85,3165.0
86,1303.0
87,1653.0
88,1626.0
89,2433.0
90,2720.0
92,3382.0
93,1285.0
94,1705.0
95,1726.0
96,2607.0
97,2895.0
98,3089.0
99,2805.0
100,2097.0
101,1789.0
102,2111.0
103,2018.0
104,2234.0
105,2072.0
106,2275.0
107,1752.0
108,1359.0
109,999.0
110,1560.0
111,1888.0
112,2062.0
113,1800.0
114,1662.0
115,1528.0
