Timestep,V
9/30/20,3.42E+13
10/1/20,3.52E+13
10/2/20,3.59E+13
10/3/20,3.49E+13
10/4/20,3.37E+13
10/5/20,3.37E+13
10/6/20,3.43E+13
10/7/20,4.54E+13
10/8/20,4.64E+13
10/9/20,4.17E+13
10/10/20,4.09E+13
10/11/20,3.94E+13
10/12/20,3.65E+13
10/13/20,3.98E+13
10/14/20,1.27E+14
10/15/20,6.93E+13
10/16/20,7.83E+13
10/17/20,1.49E+14
10/18/20,2.50E+14
10/19/20,1.65E+14
10/20/20,1.32E+14
10/21/20,1.49E+14
10/22/20,1.42E+14
10/23/20,8.94E+13
10/24/20,9.94E+13
10/25/20,1.19E+14
10/26/20,9.41E+13
10/27/20,1.17E+14
10/28/20,1.38E+14
10/29/20,8.44E+13
10/30/20,2.45E+14
10/31/20,1.22E+14
11/1/20,1.38E+14
11/2/20,2.75E+14
11/3/20,3.15E+14
11/4/20,1.76E+14
11/5/20,2.96E+14
11/6/20,1.89E+14
11/7/20,2.06E+14
11/8/20,2.58E+14
11/9/20,2.14E+14
11/10/20,2.77E+14
11/11/20,2.79E+14
11/12/20,2.87E+14
11/13/20,2.37E+14
11/14/20,3.18E+14
11/15/20,2.82E+14
11/16/20,3.44E+14
11/17/20,3.92E+14
11/18/20,3.29E+14
11/19/20,2.62E+14
11/20/20,2.86E+14
11/21/20,2.70E+14
11/22/20,3.47E+14
11/23/20,3.80E+14
11/24/20,1.05E+15
11/25/20,5.23E+14
11/26/20,7.81E+14
11/27/20,6.54E+14
11/28/20,6.27E+14
11/29/20,5.64E+14
11/30/20,6.97E+14
12/1/20,1.60E+15
12/2/20,1.19E+15
12/3/20,1.22E+15
12/4/20,1.95E+15
12/5/20,1.06E+15
12/6/20,3.14E+15
12/7/20,2.49E+15
12/8/20,1.39E+15
12/9/20,1.11E+15
12/10/20,1.29E+15
12/11/20,1.40E+15
12/12/20,1.13E+15
12/13/20,1.77E+15
12/14/20,1.61E+15
12/15/20,6.25E+14
12/16/20,1.08E+15
12/17/20,1.24E+15
12/18/20,1.09E+15
12/19/20,1.07E+15
12/20/20,1.03E+15
12/21/20,9.30E+14
12/22/20,1.11E+15
12/23/20,1.06E+15
12/24/20,9.83E+14
12/25/20,1.42E+15
12/26/20,1.87E+15
12/27/20,1.81E+15
12/28/20,2.15E+15
12/29/20,1.55E+15
12/30/20,1.88E+15
12/31/20,1.20E+15
1/1/21,8.59E+14
1/2/21,8.61E+14
1/3/21,1.15E+15
1/4/21,1.18E+15
1/5/21,1.30E+15
1/6/21,1.56E+15
1/7/21,1.33E+15
1/8/21,1.87E+15
1/9/21,1.91E+15
1/10/21,1.66E+15
1/11/21,1.72E+15
1/12/21,1.09E+15
1/13/21,1.15E+15
1/14/21,1.03E+15
1/15/21,1.03E+15
1/16/21,9.25E+14
1/17/21,1.60E+15
1/18/21,1.16E+15
1/19/21,1.44E+15
1/20/21,6.29E+14
1/21/21,6.44E+14
1/22/21,7.77E+14
1/23/21,1.07E+15
1/24/21,2.32E+15
1/25/21,1.24E+15
1/26/21,5.18E+14
1/27/21,3.26E+14
1/28/21,6.17E+14
1/29/21,5.31E+14
1/30/21,4.89E+14
1/31/21,4.24E+14
2/1/21,4.30E+14
2/2/21,4.55E+14
2/3/21,5.12E+14
2/4/21,3.80E+14
2/5/21,3.77E+14
2/6/21,5.47E+14
2/7/21,5.63E+14
2/8/21,5.02E+14
2/9/21,3.64E+14
2/10/21,2.39E+14
2/11/21,4.59E+14
2/12/21,3.44E+14
2/13/21,2.85E+14
2/14/21,4.10E+14
2/15/21,3.16E+14
2/16/21,4.36E+14
2/17/21,4.52E+14
2/18/21,5.25E+14
2/19/21,4.82E+14
2/20/21,2.87E+14
2/21/21,6.40E+14
2/22/21,5.85E+14
2/23/21,2.73E+14
2/24/21,3.40E+14
2/25/21,2.18E+14
2/26/21,1.64E+14
2/27/21,3.88E+14
2/28/21,3.77E+14
3/1/21,4.34E+14
3/2/21,3.47E+14
3/3/21,3.80E+14
3/4/21,7.21E+14
3/5/21,4.37E+14
3/6/21,3.26E+14
3/7/21,2.85E+14
3/8/21,3.81E+14
3/9/21,2.47E+14
3/10/21,2.20E+14
3/11/21,2.69E+14
3/12/21,3.63E+14
3/13/21,3.42E+14
3/14/21,3.14E+14
3/15/21,3.96E+14
3/16/21,3.02E+14
3/17/21,2.66E+14
3/18/21,3.73E+14
3/19/21,3.70E+14
3/20/21,3.88E+14
3/21/21,4.65E+14
3/22/21,4.28E+14
3/23/21,2.86E+14
3/24/21,3.29E+14
3/25/21,2.41E+14
3/26/21,2.69E+14
3/27/21,3.67E+14
3/28/21,2.96E+14
3/29/21,5.25E+14
3/30/21,2.91E+14
3/31/21,2.01E+14
4/1/21,5.65E+14
4/2/21,4.94E+14
4/3/21,2.66E+14
4/4/21,3.77E+14
4/5/21,3.74E+14
4/6/21,3.69E+14
4/7/21,2.64E+14
4/8/21,2.86E+14
4/9/21,3.71E+14
4/10/21,4.14E+14
4/11/21,3.96E+14
4/12/21,3.08E+14
4/13/21,2.16E+14
4/14/21,2.97E+14
4/15/21,2.74E+14
4/16/21,2.61E+14
4/17/21,6.11E+14
4/18/21,4.90E+14
4/19/21,2.60E+14
4/20/21,2.22E+14
4/21/21,2.33E+14
4/22/21,3.23E+14
4/23/21,1.67E+14
4/24/21,2.49E+14
4/25/21,2.39E+14
4/26/21,2.14E+14
4/27/21,1.39E+14
4/28/21,1.49E+14
4/29/21,2.02E+14
4/30/21,1.92E+14
5/1/21,1.42E+14
5/2/21,1.73E+14
5/3/21,9.78E+13
5/4/21,1.25E+14
5/5/21,1.84E+14
5/6/21,1.61E+14
5/7/21,9.49E+13
5/8/21,7.83E+13
5/9/21,8.92E+13
5/10/21,9.78E+13
5/11/21,3.99E+13
5/12/21,5.80E+13
5/13/21,7.96E+13
