Timestep,V
1,3.42E+13
2,3.52E+13
3,3.59E+13
4,3.49E+13
5,3.37E+13
6,3.37E+13
7,3.43E+13
8,4.54E+13
9,4.64E+13
10,4.17E+13
11,4.09E+13
12,3.94E+13
13,3.65E+13
14,3.98E+13
15,1.27E+14
16,6.93E+13
17,7.83E+13
18,1.49E+14
19,2.50E+14
20,1.65E+14
21,1.32E+14
22,1.49E+14
23,1.42E+14
24,8.94E+13
25,9.94E+13
26,1.19E+14
27,9.41E+13
28,1.17E+14
29,1.38E+14
30,8.44E+13
31,2.45E+14
32,1.22E+14
33,1.38E+14
34,2.75E+14
35,3.15E+14
36,1.76E+14
37,2.96E+14
38,1.89E+14
39,2.06E+14
40,2.58E+14
41,2.14E+14
42,2.77E+14
43,2.79E+14
44,2.87E+14
45,2.37E+14
46,3.18E+14
47,2.82E+14
48,3.44E+14
49,3.92E+14
50,3.29E+14
51,2.62E+14
52,2.86E+14
53,2.70E+14
54,3.47E+14
55,3.80E+14
56,1.05E+15
57,5.23E+14
58,7.81E+14
59,6.54E+14
60,6.27E+14
61,5.64E+14
62,6.97E+14
63,1.60E+15
64,1.19E+15
65,1.22E+15
66,1.95E+15
67,1.06E+15
68,3.14E+15
69,2.49E+15
70,1.39E+15
71,1.11E+15
72,1.29E+15
73,1.40E+15
74,1.13E+15
75,1.77E+15
76,1.61E+15
77,6.25E+14
78,1.08E+15
79,1.24E+15
80,1.09E+15
81,1.07E+15
82,1.03E+15
83,9.30E+14
84,1.11E+15
85,1.06E+15
86,9.83E+14
87,1.42E+15
88,1.87E+15
89,1.81E+15
90,2.15E+15
91,1.55E+15
92,1.88E+15
93,1.20E+15
94,8.59E+14
95,8.61E+14
96,1.15E+15
97,1.18E+15
98,1.30E+15
99,1.56E+15
100,1.33E+15
101,1.87E+15
102,1.91E+15
103,1.66E+15
104,1.72E+15
105,1.09E+15
106,1.15E+15
107,1.03E+15
108,1.03E+15
109,9.25E+14
110,1.60E+15
111,1.16E+15
112,1.44E+15
113,6.29E+14
114,6.44E+14
115,7.77E+14
116,1.07E+15
