Date,cRNA2,F2
'30-Sep-2020',36659.37936,934239628.3
'01-Oct-2020',36659.37936,959601887.2
'02-Oct-2020',47912.06998,750268615.6
'03-Oct-2020',47912.06998,727556144.9
'04-Oct-2020',47912.06998,702572427.1
'05-Oct-2020',47423.41154,709764709.5
'06-Oct-2020',47423.41154,722635109.6
'07-Oct-2020',61351.45311,739669462.6
'08-Oct-2020',61351.45311,756325274.4
'09-Oct-2020',57833.41567,721120944.9
'10-Oct-2020',57833.41567,707114921.3
'11-Oct-2020',57833.41567,681374121.1
'12-Oct-2020',54191.12508,672667674
'13-Oct-2020',54191.12508,734748427.3
'14-Oct-2020',81683.01871,1559968196
'15-Oct-2020',81683.01871,847932239.6
'16-Oct-2020',97384.89983,804400004.1
'17-Oct-2020',97384.89983,1534984478
'18-Oct-2020',184608.4693,1351770548
'19-Oct-2020',175012.7593,941053369.5
'20-Oct-2020',143315.4012,919097981.2
'21-Oct-2020',170222.6136,872915957.4
'22-Oct-2020',162170.0962,873673039.7
'23-Oct-2020',105349.988,849067863.2
'24-Oct-2020',118741.7144,837333086.6
'25-Oct-2020',143560.9488,826733933.6
'26-Oct-2020',113447.7183,829762263.1
'27-Oct-2020',142036.4064,825598310.1
'28-Oct-2020',164452.9249,836197463.1
'29-Oct-2020',89688.79762,941053369.5
'30-Oct-2020',159982.7676,1533470314
'31-Oct-2020',103984.588,1177263065
'01-Nov-2020',134333.1359,1026225135
'02-Nov-2020',173795.2399,1581545043
'03-Nov-2020',272971.7601,1152279347
'04-Nov-2020',170633.0285,1029253464
'05-Nov-2020',296802.9021,997077463.9
'06-Nov-2020',195733.6865,966415628.5
'07-Nov-2020',218103.0529,943703157.8
'08-Nov-2020',281680.7152,914934028.2
'09-Nov-2020',235395.2816,910391534.1
'10-Nov-2020',299788.5221,924776098.8
'11-Nov-2020',306176.8519,911905698.8
'12-Nov-2020',312111.6299,920233604.7
'13-Nov-2020',264462.0973,896764051.6
'14-Nov-2020',317556.9975,1001241417
'15-Nov-2020',314551.8177,896764051.6
'16-Nov-2020',289466.9903,1188997841
'17-Nov-2020',397524.9174,984964146.2
'18-Nov-2020',347208.0108,946352946
'19-Nov-2020',285282.7691,918719440
'20-Nov-2020',321662.0402,889950310.4
'21-Nov-2020',312337.7089,865723675
'22-Nov-2020',401228.1052,864588051.5
'23-Nov-2020',382854.8002,991399346.2
'24-Nov-2020',494625.5753,2129672670
'25-Nov-2020',451981.0757,1157957465
