Timestep,V,D
0,34248644946672.49,370.0
1,74826106143484.64,668.0
2,110773028557372.94,978.0
3,145513240668548.56,1133.0
4,178946061331467.97,1332.0
5,212605525246655.0,1580.0
6,251907793363823.03,1792.0
7,297287589715033.2,2132.0
8,342358854009788.3,2421.0
9,384063741361757.2,2656.0
10,424100106521029.9,3022.0
11,461851790928127.2,3339.0
12,498304408988044.25,3546.0
13,548221065716523.4,3822.0
14,675643977072622.0,4153.0
15,751562707678120.9,4395.0
16,829899121500651.0,4712.0
17,1046326843815478.8,5119.0
18,1295875135538839.0,5483.0
19,1460571482384016.5,5778.0
20,1592292378295384.0,6161.0
21,1740882414015524.2,6623.0
22,1882566054918674.0,7062.0
23,1972015344112838.5,7573.0
24,2071441710342036.0,8030.0
25,2190128418258483.5,8477.0
26,2284263053733268.0,8908.0
27,2401528070828421.0,9444.0
28,2539043189426808.0,10061.0
29,2623445134633728.0,10614.0
30,2868773959451638.0,11116.0
31,2991191174214979.0,11426.0
32,3129047214690892.5,11825.0
33,3403912214913465.0,12432.0
34,3718451936404473.5,13109.0
35,3894076572072785.5,13957.0
36,4190012056978476.0,14857.0
37,4379172150627225.5,15666.0
38,4584996690364133.0,16134.0
39,4842715961786298.0,16944.0
40,5057017833310725.0,17891.0
41,5334255093252734.0,18908.0
42,5613459509330455.0,20039.0
43,5900675119579128.0,21096.0
44,6137835221456338.0,22055.0
45,6455786439569586.0,22881.0
46,6737865202057693.0,23762.0
47,7082040828667748.0,24799.0
48,7473588619526592.0,25819.0
49,7802169943421971.0,26734.0
50,8064264769284555.0,27949.0
51,8350528001810362.0,29015.0
52,8620926151000598.0,29782.0
53,8967823176668702.0,30634.0
54,9347385175287846.0,31831.0
55,1.0400775744728212e+16,33761.0
56,1.0924150605249734e+16,34927.0
57,1.1705167142508414e+16,36070.0
58,1.2359300512467032e+16,36524.0
59,1.2986780639190464e+16,37635.0
60,1.3550907207646232e+16,39402.0
61,1.4248041314600788e+16,41828.0
62,1.5848276614633882e+16,44163.0
63,1.7038987764329418e+16,46387.0
64,1.826059080287781e+16,48386.0
65,2.020950439307168e+16,49419.0
66,2.1264574070527824e+16,50960.0
67,2.440522314317439e+16,53045.0
68,2.6892652544175644e+16,55147.0
69,2.82828645167912e+16,57327.0
70,2.9394041033392708e+16,59354.0
71,3.068500361701849e+16,61511.0
72,3.2085327926567616e+16,63147.0
73,3.3217196172771584e+16,64758.0
74,3.4991952115553804e+16,66904.0
75,3.659776693450362e+16,68964.0
76,3.722272382958263e+16,71450.0
