time,viral_load
0,34248644946672.49
1,40577461196812.164
2,35946922413888.305
3,34740212111175.617
4,33432820662919.41
5,33659463915187.047
6,39302268117168.03
7,45379796351210.16
8,45071264294755.14
9,41704887351968.87
10,40036365159272.69
11,37751684407097.29
12,36452618059917.08
13,49916656728479.09
14,127422911356098.66
15,75918730605498.83
16,78336413822530.1
17,216427722314827.8
18,249548291723360.2
19,164696346845177.5
20,131720895911367.52
21,148590035720140.16
22,141683640903149.84
23,89449289194164.56
24,99426366229197.5
25,118686707916447.38
26,94134635474784.55
27,117265017095153.28
28,137515118598386.72
29,84401945206919.83
30,245328824817910.22
31,122417214763340.92
32,137856040475913.31
33,274865000222572.88
34,314539721491008.06
35,175624635668311.78
36,295935484905690.06
37,189160093648750.6
38,205824539736907.03
39,257719271422164.84
40,214301871524426.53
41,277237259942009.0
42,279204416077721.12
43,287215610248673.0
44,237160101877209.53
45,317951218113247.94
46,282078762488107.4
47,344175626610055.0
48,391547790858844.44
49,328581323895379.8
50,262094825862582.72
51,286263232525805.9
52,270398149190238.1
53,346897025668102.75
54,379561998619144.1
55,1053390569440365.5
56,523374860521521.5
57,781016537258680.8
58,654133369958617.6
59,627480126723431.6
60,564126568455768.9
61,697134106954556.0
62,1600235300033094.2
63,1190711149695535.2
64,1221603038548395.8
65,1948913590193862.2
66,1055069677456146.8
67,3140649072646570.0
68,2487429401001250.5
69,1390211972615550.5
70,1111176516601513.6
71,1290962583625779.5
72,1400324309549127.0
73,1131868246203967.0
74,1774755942782221.2
75,1605814818949810.5
76,624956895079017.2
77,1084694468582915.8
78,1240904430467807.5
79,1092171211356039.4
80,1072059337313258.6
81,1025860057823602.9
82,929852889461958.1
83,1105603806194948.1
84,1060445203368459.4
85,982524012847697.4
86,1418879182716159.0
87,1869553575943084.0
88,1814168314138917.8
89,2147052562353706.5
90,1552412044579629.0
91,1882726247424934.0
92,1203560028336899.5
93,858577241234746.1
94,860952127893117.9
95,1146422225630176.5
96,1177308362488507.5
97,1298444151260612.2
98,1560162971059596.2
99,1331600391050789.2
100,1869276652982282.8
101,1906236052290969.2
102,1655076426556421.0
103,1723664058665344.8
104,1093263145106847.1
105,1154384769212183.5
106,1027328890970926.0
107,1025955234452567.1
108,924842867245809.2
109,1598595473420048.2
110,1155935154201337.0
111,1436647201680770.8
112,629081021929207.1
113,643501141375776.9
114,776717104074582.5
115,1068875625737516.9
116,2315844646056214.5
117,1243600686012789.8
118,518147470677807.8
119,326211141639419.1
120,617388995148295.0
121,531036533507753.9
122,489213351946704.06
123,423774168094458.25
124,430325426936683.06
125,454873464747011.9
126,511707760668387.0
127,380139247558911.8
128,377122436452756.2
129,547029835626299.0
130,562622292642023.0
131,501581889258895.7
132,363902341036321.8
133,238517108278643.66
134,458822501979934.8
135,343688082181754.25
136,284761456451544.44
137,409532807123164.1
138,316449697353541.5
139,435865808432208.25
140,452138596899369.5
141,525143948492479.25
142,481582532764147.1
143,286608145810790.56
144,639880997223232.5
145,585496556138063.1
146,272954499595444.62
147,340179087299989.56
148,218014502205322.06
149,164079077234768.72
150,388125337018593.94
151,377466477777183.56
152,433507340150274.56
153,347164907625669.0
154,379647101635111.6
155,721475761846883.8
156,437362766461643.75
157,326002821106422.75
158,285205107930547.7
159,380755533981857.5
160,247304896166828.94
161,220432791723904.03
162,269279860322082.25
163,363331778140835.7
164,341551426807457.6
165,313989701500502.0
166,395790384871781.56
167,302067449431989.94
168,266000431855949.56
169,373293585754883.3
170,370174547147071.25
171,387711992621504.0
172,464678312106559.25
173,427863486297715.44
174,286097715729764.5
175,328575333445573.0
176,241498363430540.84
177,269492493581916.4
178,366743337065805.3
179,295769530655198.2
180,525026429295263.3
181,291228114342909.75
182,201036583007838.66
183,564678160984385.4
184,494486059037390.5
185,266360394961854.03
186,376639741263194.2
187,374163568949352.44
188,368762420432984.8
189,264397110814381.7
190,286292934833638.75
191,370855922595318.9
192,414252718241731.5
193,396309323563351.25
194,307542750698336.75
195,215620344273723.22
196,297157968692211.75
197,274493884325433.7
198,261069623650795.3
199,611141323246793.4
200,490403680492714.25
201,260196043025214.47
202,221760033278149.3
203,233454517171970.3
204,323178999421460.2
205,167407879216886.78
206,248902933929043.38
207,238705068722213.53
208,213871433478104.22
209,139254918481180.1
210,149324167606457.44
211,202391730126939.12
212,192173929318583.7
213,141778207954482.5
214,173483858963653.84
215,97806442982805.69
216,124844311386986.56
217,183541627703958.88
218,160892889146360.06
219,94912493345235.64
220,78336301059435.98
221,89226973888530.42
222,97769235045193.6
223,39850266703593.95
224,58014226503000.0
225,79558006191481.7
