Date,SARS-CoV-2 levels [copies/L],log_SARS-CoV-2,seven_day_average,seven_day_average_log
10/2/20,47912.06998,4.680453999,43998.28696,4.643445638
10/3/20,,,43998.28696,4.643445638
10/4/20,,,52228.97821,4.717919845
10/5/20,47423.41154,4.676001951,52228.97821,4.717919845
10/6/20,,,55536.09344,4.744583147
10/7/20,61351.45311,4.787831932,55536.09344,4.744583147
10/8/20,,,55536.09344,4.744583147
10/9/20,57833.41567,4.762186352,57791.99795,4.761875224
10/10/20,,,57791.99795,4.761875224
10/11/20,,,64569.18649,4.810032041
10/12/20,54191.12508,4.733936182,64569.18649,4.810032041
10/13/20,,,77753.01454,4.890722821
10/14/20,81683.01871,4.912137096,77753.01454,4.890722821
10/15/20,,,104466.8782,5.018982774
10/16/20,97384.89983,4.988496081,134672.2868,5.129281459
10/17/20,,,136400.9097,5.134820451
10/18/20,184608.4693,5.266253974,154108.8287,5.187830338
10/19/20,175012.7593,5.243072193,155452.3732,5.19160015
10/20/20,143315.4012,5.156295894,156779.8879,5.19529312
10/21/20,170222.6136,5.231019806,151345.8631,5.179973424
10/22/20,162170.0962,5.209973452,145481.9316,5.162812044
10/23/20,105349.988,5.022638613,136686.9258,5.135730153
10/24/20,118741.7144,5.074606972,136504.2122,5.135149235
10/25/20,143560.9488,5.157039345,135679.971,5.132518943
10/26/20,113447.7183,5.054799594,125325.4998,5.098042911
10/27/20,142036.4064,5.152402734,133130.1826,5.12427979
10/28/20,164452.9249,5.216044243,131022.0217,5.117347611
10/29/20,89688.79762,4.952743044,129703.7627,5.112955923
10/30/20,159982.7676,5.20407592,138324.8372,5.140903307
10/31/20,103984.588,5.016973152,157029.8877,5.195985086
11/1/20,134333.1359,5.128186386,157912.7597,5.198419973
11/2/20,173795.2399,5.240040376,187500.4889,5.273004721
11/3/20,272971.7601,5.436119311,192607.763,5.284676042
11/4/20,170633.0285,5.232065644,208910.4008,5.319962141
11/5/20,296802.9021,5.472469606,229960.055,5.361654292
11/6/20,195733.6865,5.291667795,238760.061,5.3779635
11/7/20,218103.0529,5.338663736,242591.027,5.384876523
11/8/20,281680.7152,5.449758657,261954.4303,5.418227406
11/9/20,235395.2816,5.371799598,264141.3914,5.421838105
11/10/20,299788.5221,5.47681645,273959.7358,5.437688324
11/11/20,306176.8519,5.485973772,288167.4422,5.459646419
11/12/20,312111.6299,5.494311343,292863.314,5.466666455
11/13/20,264462.0973,5.42236508,300587.8438,5.477972858
11/14/20,317556.9975,5.501823055,314550.186,5.497691327
11/15/20,314551.8177,5.49769358,320411.7801,5.50570983
11/16/20,289466.9903,5.461600546,316579.0857,5.500483592
11/17/20,397524.9174,5.599365448,324750.5062,5.511551174
11/18/20,347208.0108,5.540590988,324004.8935,5.51055291
11/19/20,285282.7691,5.455277064,336387.2203,5.526840779
11/20/20,321662.0402,5.507401162,349728.336,5.543732063
11/21/20,312337.7089,5.494625811,363599.8586,5.5606249
11/22/20,401228.1052,5.603392429,378567.4392,5.578144405
11/23/20,382854.8002,5.583035231,440943.1896,5.644383624
11/24/20,494625.5753,5.694277446,471372.1957,5.673364883
11/25/20,451981.0757,5.655121212,513780.7757,5.710778695
11/26/20,721913.0216,5.858485477,535050.5008,5.728395587
11/27/20,534665.0831,5.728082635,577978.6636,5.761912558
11/28/20,609197.7688,5.784759017,602918.7273,5.780259494
11/29/20,550116.1808,5.740455209,626806.8661,5.797134438
11/30/20,683351.9399,5.834645067,639743.6844,5.806006686
12/1/20,669206.021,5.825560489,763335.1881,5.882715852
12/2/20,619198.0476,5.79183028,785664.6166,5.895237747
12/3/20,812470.7499,5.909808269,847641.7357,5.928212844
12/4/20,1399805.609,6.14606804,909586.1722,5.958844327
12/5/20,765503.7684,5.8839479,918747.735,5.963196754
12/6/20,983956.0143,5.992976126,925488.465,5.966371479
12/7/20,1116962.995,6.048039174,928539.7045,5.967800947
12/8/20,733336.9609,5.865304167,866620.3731,5.937829396
12/9/20,666383.1576,5.823724664,879028.4346,5.944003418
12/10/20,833829.426,5.921077738,899815.432,5.95415392
12/11/20,966370.2895,5.985144019,907058.0651,5.957635568
12/12/20,852360.1984,5.930623671,867682.8438,5.938361511
12/13/20,1129464.996,6.05287316,894171.1527,5.95142114
12/14/20,1167661.427,6.067317306,927594.4362,5.967358603
12/15/20,457710.412,5.660591741,914860.1801,5.9613552
12/16/20,851801.3197,5.930338818,919764.1376,5.963676944
12/17/20,1067792.411,6.028487237,883338.726,5.946127762
12/18/20,877230.4969,5.943114217,831058.6462,5.919632195
12/19/20,886687.9004,5.947771272,900701.3227,5.954581283
12/20/20,874487.1149,5.941753911,906915.7011,5.9575674
12/21/20,801700.8688,5.904012896,878551.2245,5.943767583
12/22/20,945209.1475,5.975528375,872384.5389,5.940708458
12/23/20,895301.968,5.951970024,821498.7586,5.91460744
12/24/20,869241.0749,5.93914074,801869.8631,5.904104433
12/25/20,834063.6977,5.92119974,842239.5158,5.925436129
12/26/20,530487.4384,5.724675923,827584.1352,5.917812681
12/27/20,737084.846,5.867518072,861865.8923,5.935440198
12/28/20,1084288.438,6.035145227,847480.6892,5.928130324
12/29/20,842621.4833,5.925633043,809211.7335,5.908062708
12/30/20,1135274.268,6.055101177,812424.5456,5.909783571
12/31/20,768544.6527,5.88566967,807602.0313,5.90719794
1/1/21,566181.0083,5.752956065,765988.438,5.884222781
1/2/21,552977.1228,5.74270795,775077.1056,5.889345469
1/3/21,703327.2462,5.847158059,773502.7575,5.888462428
1/4/21,792993.285,5.899270057,806637.5325,5.906678964
1/5/21,906242.1567,5.95724474,932811.7034,5.969794452
1/6/21,1124253.83,6.050864762,1070238.51,6.02948098
1/7/21,1000488.078,6.000212352,1164344.826,6.06608199
1/8/21,1449400.205,6.161188618,1256651.488,6.099215196
1/9/21,1514964.772,6.180402821,1250569.034,6.097108018
1/10/21,1362071.453,6.13420021,1232006.243,6.090613261
1/11/21,1439139.924,6.158103323,1217330.205,6.085408755
1/12/21,863664.9785,5.936345812,1137385.264,6.055907979
1/13/21,994314.2931,5.997524119,1031273.103,6.013374112
1/14/21,897755.8107,5.953158709,939871.1797,5.973068795
1/15/21,889785.6202,5.949285871,850764.8896,5.929810069
1/16/21,772179.6408,5.887718909,876867.0409,5.942934242
1/17/21,722257.9906,5.858692957,804771.4746,5.905673114
1/18/21,815395.8934,5.911369053,750223.2317,5.875191087
1/19/21,1046380.038,6.019689861,715230.49,5.854446627
1/20/21,489645.329,5.689882503,736399.4013,5.867114016
1/21/21,515918.1099,5.712581615,924447.1045,5.965882536
1/22/21,644836.4283,5.809450237,967594.895,5.985694017
1/23/21,920362.0201,5.963959161,884487.7869,5.946692332
1/24/21,2038591.913,6.30933051,856670.0015,5.932814066
1/25/21,1117430.427,6.048220882,861101.4174,5.935054808
