Date,Total_cases,New_cases,seven_day_average_new_cases,seven_day_average_new_cases_log
10/2/20,63155,370,270.7142857,2.434112473
10/3/20,63453,298,268,2.42975228
10/4/20,63763,310,274.8571429,2.440684234
10/5/20,63918,155,256,2.409933123
10/6/20,64117,199,251.7142857,2.402629793
10/7/20,64365,248,250.4285714,2.400414628
10/8/20,64577,212,239.7142857,2.381501865
10/9/20,64917,340,269.8571429,2.432740293
10/10/20,65206,289,286.7142857,2.458961426
10/11/20,65441,235,280.8571429,2.450029045
10/12/20,65807,366,290,2.463892989
10/13/20,66124,317,288.7142857,2.461969911
10/14/20,66331,207,282,2.451786436
10/15/20,66607,276,293.7142857,2.469401188
10/16/20,66938,331,299.5714286,2.477947695
10/17/20,67180,242,306.2857143,2.48754237
10/18/20,67497,317,318.8571429,2.504956054
10/19/20,67904,407,334.1428571,2.525229968
10/20/20,68268,364,352.8571429,2.548827967
10/21/20,68563,295,381,2.582063363
10/22/20,68946,383,408.7142857,2.612481107
10/23/20,69408,462,415.8571429,2.619987248
10/24/20,69847,439,427.7142857,2.632167955
10/25/20,70358,511,447.1428571,2.651416479
10/26/20,70815,457,469,2.672097858
10/27/20,71262,447,491.1428571,2.692091186
10/28/20,71693,431,507.4285714,2.706229948
10/29/20,72229,536,506.1428571,2.705130313
10/30/20,72846,617,485.1428571,2.686763909
10/31/20,73399,553,478.2857143,2.680594484
11/1/20,73901,502,503.4285714,2.702799678
11/2/20,74211,310,523.5714286,2.719804633
11/3/20,74610,399,556.5714286,2.746300511
11/4/20,75217,607,606.1428571,2.78329089
11/5/20,75894,677,650,2.813580989
11/6/20,76742,848,672.5714286,2.828383657
11/7/20,77642,900,731.2857143,2.864680562
11/8/20,78451,809,779.8571429,2.892571587
11/9/20,78919,468,828.4285714,2.918778991
11/10/20,79729,810,868.8571429,2.939447934
11/11/20,80676,947,891.2857143,2.95050394
11/12/20,81693,1017,912.7142857,2.960810415
11/13/20,82824,1131,963.8571429,2.984463016
